clave_modelo,modelo,estrategia_pesos,batch_size,learning_rate,target,descripcion,epocas_ejecutadas,mejor_epoca,loss,pr_auc,roc_auc,recall,precision,f2,accuracy,false_negatives,false_positives,clave_configuracion,factor_evaluado
referencia,MLP de referencia,sin_ponderar,128,0.001,IRAMDEYR,Episodio depresivo mayor,48,38,0.3365877568721771,0.23035170137882233,0.7131950855255127,0.1184210553765297,0.34375,0.13628853857517242,0.8776426911354065,737.0,189.0,b128_lr001,Batch size
referencia,MLP de referencia,sin_ponderar,128,0.001,IRSUICTHNK,Ideación suicida,47,37,0.2683330178260803,0.14046652615070343,0.6699531078338623,0.04973357170820236,0.25925925374031067,0.05932203680276871,0.9187368154525757,535.0,80.0,b128_lr001,Batch size
referencia,MLP de referencia,sin_ponderar,128,0.001,IRSUIPLANYR,Planificación suicida,36,26,0.2559588849544525,0.04449405521154404,0.6580844521522522,0.01149425283074379,0.095238097012043,0.013946997933089733,0.9747621417045593,172.0,19.0,b128_lr001,Batch size
referencia,MLP de referencia,sin_ponderar,128,0.001,IRSUITRYYR,Intento suicida,60,50,0.07297635823488235,0.021663445979356766,0.6494156122207642,0.0,0.0,0.0,0.9877114295959473,84.0,9.0,b128_lr001,Batch size
referencia,MLP de referencia,sin_ponderar,256,0.001,IRAMDEYR,Episodio depresivo mayor,76,66,0.34793537855148315,0.22343610227108002,0.7208792567253113,0.0933014377951622,0.3083004057407379,0.10842368006706238,0.876717746257782,758.0,175.0,b256_lr001,Referencia
referencia,MLP de referencia,sin_ponderar,256,0.001,IRSUICTHNK,Ideación suicida,66,56,0.28138917684555054,0.13129232823848724,0.6576946377754211,0.035523977130651474,0.25974026322364807,0.04293687641620636,0.920718789100647,543.0,57.0,b256_lr001,Referencia
referencia,MLP de referencia,sin_ponderar,256,0.001,IRSUIPLANYR,Planificación suicida,43,33,0.5050488114356995,0.04023151844739914,0.6262499094009399,0.017241379246115685,0.043478261679410934,0.01960783265531063,0.9686839580535889,171.0,66.0,b256_lr001,Referencia
referencia,MLP de referencia,sin_ponderar,256,0.001,IRSUITRYYR,Intento suicida,44,34,0.23894377052783966,0.02413681522011757,0.6483893990516663,0.02380952425301075,0.10526315867900848,0.02816900797188282,0.9869186282157898,82.0,17.0,b256_lr001,Referencia
referencia,MLP de referencia,sin_ponderar,512,0.001,IRAMDEYR,Episodio depresivo mayor,95,85,0.42844095826148987,0.23025383055210114,0.734101414680481,0.09808612614870071,0.30483272671699524,0.11347909271717072,0.8756606578826904,754.0,187.0,b512_lr001,Batch size
referencia,MLP de referencia,sin_ponderar,512,0.001,IRSUICTHNK,Ideación suicida,53,43,0.7054934501647949,0.1228291317820549,0.6372972726821899,0.05861456319689751,0.13983051478862762,0.06631831079721451,0.9031448364257812,530.0,203.0,b512_lr001,Batch size
referencia,MLP de referencia,sin_ponderar,512,0.001,IRSUIPLANYR,Planificación suicida,88,78,0.8886430263519287,0.03906000778079033,0.625470757484436,0.04022988677024841,0.042424242943525314,0.0406503900885582,0.9570560455322266,167.0,158.0,b512_lr001,Batch size
referencia,MLP de referencia,sin_ponderar,512,0.001,IRSUITRYYR,Intento suicida,58,48,0.49312102794647217,0.0238807275891304,0.6134220957756042,0.011904762126505375,0.03999999910593033,0.013850406743586063,0.9858615398406982,83.0,24.0,b512_lr001,Batch size
referencia,MLP de referencia,sin_ponderar,256,0.0005,IRAMDEYR,Episodio depresivo mayor,70,60,0.595428466796875,0.2213163524866104,0.7162172794342041,0.15789473056793213,0.31807228922843933,0.17557859420776367,0.86958247423172,704.0,283.0,b256_lr0005,Learning rate
referencia,MLP de referencia,sin_ponderar,256,0.0005,IRSUICTHNK,Ideación suicida,28,18,6.807650089263916,0.11631777137517929,0.5526649355888367,0.05861456319689751,0.1534883677959442,0.06688283383846283,0.9059196710586548,530.0,182.0,b256_lr0005,Learning rate
referencia,MLP de referencia,sin_ponderar,256,0.0005,IRSUIPLANYR,Planificación suicida,85,75,0.39586347341537476,0.03827729821205139,0.6124622821807861,0.028735632076859474,0.0793650820851326,0.032938066869974136,0.9700052738189697,169.0,58.0,b256_lr0005,Learning rate
referencia,MLP de referencia,sin_ponderar,256,0.0005,IRSUITRYYR,Intento suicida,100,95,0.09513559192419052,0.028129607439041138,0.6080772876739502,0.011904762126505375,0.125,0.01453488040715456,0.9881078004837036,83.0,7.0,b256_lr0005,Learning rate
