estrategia_pesos,target,descripcion,epocas,mejor_epoca,loss_train_mejor,loss_validacion_mejor,pr_auc_train_mejor,pr_auc_validacion_mejor,gap_pr_auc_mejor,gap_pr_auc_final,gap_loss_mejor,gap_loss_final,loss_checkpoint,checkpoint_alineado
b128_lr001,IRAMDEYR,Episodio depresivo mayor,48,38,0.2778884470462799,0.3365877568721771,0.3853155970573425,0.2303517013788223,0.15496389567852017,0.19112256169319147,0.05869930982589722,2.241254478693009,0.3365877568721771,True
b128_lr001,IRSUICTHNK,Ideación suicida,47,37,0.2333950400352478,0.2683330178260803,0.2635629177093506,0.1404665261507034,0.12309639155864718,0.1272716298699379,0.03493797779083252,-0.08731076121330261,0.2683330178260803,True
b128_lr001,IRSUIPLANYR,Planificación suicida,36,26,0.1364905685186386,0.2559588849544525,0.103658840060234,0.044494055211544,0.05916478484869,0.1523549072444439,0.1194683164358139,0.48490492999553686,0.2559588849544525,True
b128_lr001,IRSUITRYYR,Intento suicida,60,50,0.050079021602869,0.0729763582348823,0.2456443905830383,0.0216634459793567,0.2239809446036816,0.2624842915683985,0.0228973366320133,0.0969591289758682,0.07297635823488235,True
b256_lr001,IRAMDEYR,Episodio depresivo mayor,76,66,0.2725584805011749,0.3479353785514831,0.4522780776023865,0.22343610227108,0.22884197533130649,0.2866737395524979,0.07537689805030817,0.13822105526924128,0.34793537855148315,True
b256_lr001,IRSUICTHNK,Ideación suicida,66,56,0.2284993380308151,0.2813891768455505,0.3208617568016052,0.1312923282384872,0.18956942856311804,0.23614669591188428,0.052889838814735385,0.07280516624450689,0.28138917684555054,True
b256_lr001,IRSUIPLANYR,Planificación suicida,43,33,0.3466231226921081,0.5050488114356995,0.0931303724646568,0.0402315184473991,0.052898854017257704,0.0668677017092705,0.15842568874359136,0.6818375885486602,0.5050488114356995,True
b256_lr001,IRSUITRYYR,Intento suicida,44,34,0.3946758508682251,0.2389437705278396,0.0509961955249309,0.0241368152201175,0.0268593803048134,0.0857400931417943,-0.1557320803403855,0.04152251780033117,0.23894377052783966,True
b512_lr001,IRAMDEYR,Episodio depresivo mayor,95,85,0.3183080852031708,0.4284409582614898,0.4065345823764801,0.2302538305521011,0.176280751824379,0.1792320311069489,0.11013287305831904,0.1347644031047821,0.42844095826148987,True
b512_lr001,IRSUICTHNK,Ideación suicida,53,43,0.9383074641227722,0.7054934501647949,0.1804776191711425,0.1228291317820549,0.057648487389087594,0.0872313976287841,-0.2328140139579773,0.2292805314064026,0.7054934501647949,True
b512_lr001,IRSUIPLANYR,Planificación suicida,88,78,0.2398158460855484,0.8886430263519287,0.15707927942276,0.0390600077807903,0.11801927164196971,0.1370049118995667,0.6488271802663803,1.0556006133556366,0.8886430263519287,True
b512_lr001,IRSUITRYYR,Intento suicida,58,48,0.6491208672523499,0.4931210279464721,0.0510061457753181,0.0238807275891304,0.027125418186187696,0.046233432367444004,-0.15599983930587774,-0.14371812343597412,0.49312102794647217,True
b256_lr0005,IRAMDEYR,Episodio depresivo mayor,70,60,0.593622624874115,0.595428466796875,0.3322835564613342,0.2213163524866104,0.11096720397472376,0.1037687957286835,0.0018058419227600098,0.07420980930328369,0.595428466796875,True
b256_lr0005,IRSUICTHNK,Ideación suicida,28,18,9.943732261657717,6.807650089263916,0.1367929875850677,0.1163177713751792,0.0204752162098885,0.02076040953397751,-3.1360821723938006,-1.2846012115478516,6.807650089263916,True
b256_lr0005,IRSUIPLANYR,Planificación suicida,85,75,0.2543181777000427,0.3958634734153747,0.1414409875869751,0.0382772982120513,0.10316368937492379,0.12742979824543,0.14154529571533198,2.084901824593544,0.39586347341537476,True
b256_lr0005,IRSUITRYYR,Intento suicida,100,95,0.0643527284264564,0.0951355919241905,0.2240369319915771,0.0281296074390411,0.19590732455253598,0.3045312725007535,0.030782863497734098,0.05590986460447311,0.09513559192419052,True
