clave_modelo,modelo,estrategia_pesos,batch_size,learning_rate,target,descripcion,epocas_ejecutadas,mejor_epoca,loss,pr_auc,roc_auc,recall,precision,f2,accuracy,false_negatives,false_positives,clave_configuracion,factor_evaluado,pr_auc_base,roc_auc_base,recall_base,precision_base,f2_base,false_negatives_base,false_positives_base,delta_pr_auc,delta_roc_auc,delta_recall,delta_precision,delta_f2,delta_false_negatives,delta_false_positives
referencia,"Referencia — lr 0,001",referencia_lr001,256,0.001,IRAMDEYR,Episodio depresivo mayor,76,66,0.34793537855148315,0.22343610227108002,0.7208792567253113,0.0933014377951622,0.3083004057407379,0.10842368006706238,0.876717746257782,758.0,175.0,b256_lr001,Referencia,,,,,,,,,,,,,,
referencia,"Referencia — lr 0,001",referencia_lr001,256,0.001,IRSUICTHNK,Ideación suicida,66,56,0.28138917684555054,0.13129232823848724,0.6576946377754211,0.035523977130651474,0.25974026322364807,0.04293687641620636,0.920718789100647,543.0,57.0,b256_lr001,Referencia,,,,,,,,,,,,,,
referencia,"Referencia — lr 0,001",referencia_lr001,256,0.001,IRSUIPLANYR,Planificación suicida,43,33,0.5050488114356995,0.04023151844739914,0.6262499094009399,0.017241379246115685,0.043478261679410934,0.01960783265531063,0.9686839580535889,171.0,66.0,b256_lr001,Referencia,,,,,,,,,,,,,,
referencia,"Referencia — lr 0,001",referencia_lr001,256,0.001,IRSUITRYYR,Intento suicida,44,34,0.23894377052783966,0.02413681522011757,0.6483893990516663,0.02380952425301075,0.10526315867900848,0.02816900797188282,0.9869186282157898,82.0,17.0,b256_lr001,Referencia,,,,,,,,,,,,,,
regularizada_sin_ponderar,Regularizada sin ponderar,sin_ponderar,256,0.0005,IRAMDEYR,Episodio depresivo mayor,54,44,0.3353271484375,0.1898510456085205,0.6494500637054443,0.0,0.0,0.0,0.8895348906517029,836.0,0.0,,,,,,,,,,,,,,,,
regularizada_sin_ponderar,Regularizada sin ponderar,sin_ponderar,256,0.0005,IRSUICTHNK,Ideación suicida,43,33,0.26162463426589966,0.11351123452186584,0.6134586334228516,0.0,0.0,0.0,0.9256078004837036,563.0,0.0,,,,,,,,,,,,,,,,
regularizada_sin_ponderar,Regularizada sin ponderar,sin_ponderar,256,0.0005,IRSUIPLANYR,Planificación suicida,20,10,0.10802534967660904,0.05040285736322403,0.6341161131858826,0.0,0.0,0.0,0.9770084619522095,174.0,0.0,,,,,,,,,,,,,,,,
regularizada_sin_ponderar,Regularizada sin ponderar,sin_ponderar,256,0.0005,IRSUITRYYR,Intento suicida,26,16,0.059850361198186874,0.03373722732067108,0.6339738965034485,0.0,0.0,0.0,0.9889006614685059,84.0,0.0,,,,,,,,,,,,,,,,
regularizada_balanceada,Regularizada balanceada,balanceada,256,0.0005,IRAMDEYR,Episodio depresivo mayor,14,4,0.6199256181716919,0.16275250911712646,0.623018741607666,0.2954545319080353,0.17898550629615784,0.2614309787750244,0.7724630236625671,589.0,1133.0,,,,,,,,,,,,,,,,
regularizada_balanceada,Regularizada balanceada,balanceada,256,0.0005,IRSUICTHNK,Ideación suicida,16,6,0.6383524537086487,0.1113559678196907,0.6140717267990112,0.35523977875709534,0.11911852657794952,0.25438815355300903,0.7566067576408386,363.0,1479.0,,,,,,,,,,,,,,,,
regularizada_balanceada,Regularizada balanceada,balanceada,256,0.0005,IRSUIPLANYR,Planificación suicida,31,21,0.560217559337616,0.0483107715845108,0.6558576226234436,0.43103447556495667,0.04810776188969612,0.1662970930337906,0.7908298373222351,99.0,1484.0,,,,,,,,,,,,,,,,
regularizada_balanceada,Regularizada balanceada,balanceada,256,0.0005,IRSUITRYYR,Intento suicida,33,23,0.548448920249939,0.03291401267051697,0.664578914642334,0.3928571343421936,0.029729729518294334,0.11410786956548691,0.8509513735771179,51.0,1077.0,,,,,,,,,,,,,,,,
