target,estrategia_pesos,accuracy,f2,false_negatives,false_positives,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_f2,val_false_negatives,val_false_positives,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,epoca
IRAMDEYR,balanceada,0.6593769788742065,0.2709789872169494,2123.0,8188.0,0.7695006728172302,0.133521482348442,0.1315231174230575,0.3687184154987335,0.5367848873138428,0.6897463202476501,0.3390885889530182,455.0,1893.0,0.7222577929496765,0.1494093239307403,0.1675461679697036,0.4557416141033172,0.5805705785751343,1
IRAMDEYR,balanceada,0.6589475274085999,0.286488801240921,2042.0,8282.0,0.7176839709281921,0.1435489952564239,0.1375611722469329,0.3928040564060211,0.5584061145782471,0.7390327453613281,0.3131707012653351,515.0,1460.0,0.7243058085441589,0.1574442386627197,0.18023581802845,0.3839713037014007,0.6151829957962036,2
IRAMDEYR,balanceada,0.6810808777809143,0.3142021596431732,1944.0,7710.0,0.705752968788147,0.1545113176107406,0.1554387062788009,0.4219446778297424,0.5831562876701355,0.7336152195930481,0.3208092153072357,503.0,1513.0,0.7418080568313599,0.1603920459747314,0.1803900301456451,0.3983253538608551,0.6300407648086548,3
IRAMDEYR,balanceada,0.6847147345542908,0.321556955575943,1914.0,7630.0,0.6935655474662781,0.1598567068576812,0.1595990806818008,0.4308652877807617,0.5920599102973938,0.7385042309761047,0.3180314898490906,509.0,1470.0,0.7201142311096191,0.1632691472768783,0.1819699555635452,0.3911483287811279,0.6267377734184265,4
IRAMDEYR,balanceada,0.6903306841850281,0.3134408593177795,1968.0,7406.0,0.6935645937919617,0.1591003239154815,0.1585047096014022,0.4148082137107849,0.5917012095451355,0.7441860437393188,0.3224225342273712,507.0,1429.0,0.691700279712677,0.1643209308385849,0.1871444880962371,0.3935406804084778,0.6261202096939087,5
IRAMDEYR,balanceada,0.6988867521286011,0.3246487975120544,1930.0,7185.0,0.6878793835639954,0.1654444336891174,0.1662798821926117,0.42610764503479,0.6052202582359314,0.7365221977233887,0.3347440958023071,488.0,1506.0,0.6877453923225403,0.1650572568178177,0.1877022683620453,0.4162679314613342,0.6326727867126465,6
IRAMDEYR,balanceada,0.7025205492973328,0.3300299942493438,1911.0,7094.0,0.6842007637023926,0.1647414118051529,0.1699040532112121,0.4317573606967926,0.6031802892684937,0.7322938442230225,0.339306116104126,480.0,1546.0,0.6830186247825623,0.1659069955348968,0.1871713995933532,0.4258373081684112,0.6311432719230652,7
IRAMDEYR,balanceada,0.7060552835464478,0.3336223661899566,1901.0,6997.0,0.6840685606002808,0.1673158109188079,0.1728336662054062,0.4347308874130249,0.6092636585235596,0.729651153087616,0.3478260636329651,468.0,1578.0,0.6994262933731079,0.1676394939422607,0.1891058534383773,0.440191388130188,0.6345876455307007,8
IRAMDEYR,balanceada,0.7048330307006836,0.3346384763717651,1893.0,7042.0,0.6819614768028259,0.1703624725341797,0.172697365283966,0.4371097087860107,0.610837996006012,0.7303118109703064,0.3497825562953949,466.0,1575.0,0.6737794280052185,0.1690655797719955,0.190231367945671,0.4425837397575378,0.6401249766349792,9
IRAMDEYR,balanceada,0.7008688449859619,0.3507274687290191,1801.0,7254.0,0.6814785599708557,0.1692424863576889,0.1771778613328933,0.464466243982315,0.6151649951934814,0.726083517074585,0.3509100973606109,462.0,1611.0,0.6939941048622131,0.1691962331533432,0.1884130984544754,0.4473684132099151,0.6387233138084412,10
IRAMDEYR,balanceada,0.7030161023139954,0.3420349955558777,1851.0,7139.0,0.6774452328681946,0.1749738305807113,0.17477747797966,0.4495985805988312,0.6201812028884888,0.7180232405662537,0.3572747111320495,449.0,1685.0,0.6665368676185608,0.1810847520828247,0.1867760568857193,0.4629186689853668,0.6438259482383728,11
IRAMDEYR,balanceada,0.7001420259475708,0.3519232273101806,1793.0,7284.0,0.67487633228302,0.1764081418514251,0.1773209869861602,0.4668450653553009,0.6202239394187927,0.7254228591918945,0.3513867259025574,461.0,1617.0,0.658900797367096,0.1758916527032852,0.1882530152797699,0.4485645890235901,0.635418713092804,12
IRAMDEYR,balanceada,0.7005384564399719,0.3548068404197693,1779.0,7286.0,0.6750542521476746,0.1745136231184005,0.1785794794559478,0.4710080325603485,0.6199506521224976,0.7258192300796509,0.3523898422718048,460.0,1615.0,0.6468919515609741,0.1759686917066574,0.1888498216867447,0.449760764837265,0.6417504549026489,13
IRAMDEYR,balanceada,0.7012652158737183,0.3591889142990112,1758.0,7285.0,0.6715731620788574,0.1831498891115188,0.1805399358272552,0.4772524535655975,0.6304617524147034,0.7085095047950745,0.3665821552276611,431.0,1775.0,0.6616860628128052,0.1771223545074463,0.1857798099517822,0.4844497740268707,0.6475086808204651,14
IRAMDEYR,balanceada,0.6929404139518738,0.3614297807216644,1725.0,7570.0,0.6722897887229919,0.1764052063226699,0.1778887957334518,0.4870651066303253,0.6272758841514587,0.7009778022766113,0.3704695403575897,421.0,1842.0,0.6634330749511719,0.1854878067970276,0.1838724017143249,0.4964114725589752,0.6442475318908691,15
IRAMDEYR,balanceada,0.6965412497520447,0.368846982717514,1695.0,7491.0,0.6715449690818787,0.1802995204925537,0.1821159571409225,0.4959857165813446,0.6277561783790588,0.7062631845474243,0.3685348629951477,427.0,1796.0,0.646975576877594,0.1809636801481247,0.1854875236749649,0.489234447479248,0.6401369571685791,16
IRAMDEYR,balanceada,0.6952859163284302,0.3650231659412384,1712.0,7512.0,0.6704880595207214,0.1792989522218704,0.1801811605691909,0.4909307062625885,0.628783643245697,0.7071881890296936,0.3690003156661987,427.0,1789.0,0.642236053943634,0.1850893646478653,0.1860782504081726,0.489234447479248,0.6392937898635864,17
IRAMDEYR,balanceada,0.6975653171539307,0.3725567758083343,1678.0,7477.0,0.6675494909286499,0.1857713162899017,0.1839118152856826,0.5010407567024231,0.6358401775360107,0.7016384601593018,0.3738400936126709,417.0,1841.0,0.6496769785881042,0.1769392490386963,0.1853982359170913,0.5011961460113525,0.6471041440963745,18
IRAMDEYR,balanceada,0.6946582794189453,0.371862530708313,1674.0,7569.0,0.6690369248390198,0.182591900229454,0.1824368089437484,0.502230167388916,0.6289941668510437,0.705998957157135,0.3737645745277405,420.0,1805.0,0.6445711255073547,0.1863968074321746,0.1873030215501785,0.4976076483726501,0.6455580592155457,19
IRAMDEYR,balanceada,0.6941297054290771,0.3745934665203094,1658.0,7601.0,0.664434552192688,0.1869390904903412,0.1832151263952255,0.5069878101348877,0.6422083377838135,0.7015063166618347,0.3745317757129669,416.0,1843.0,0.6513360142707825,0.1830031424760818,0.1855943500995636,0.5023923516273499,0.6482262015342712,20
IRAMDEYR,balanceada,0.696243941783905,0.3709591925144195,1683.0,7512.0,0.6645992994308472,0.1868748813867569,0.182767629623413,0.4995539784431457,0.6389405727386475,0.6999207139015198,0.37448850274086,415.0,1856.0,0.6456225514411926,0.1918921917676925,0.184892401099205,0.5035884976387024,0.6481360197067261,21
IRAMDEYR,balanceada,0.6906279921531677,0.3754586577415466,1644.0,7721.0,0.6650745868682861,0.1890484243631363,0.1820974647998809,0.5111507773399353,0.6393263339996338,0.6941067576408386,0.3745813369750976,411.0,1904.0,0.6982012987136841,0.1745685189962387,0.1824817508459091,0.5083732008934021,0.639482855796814,22
IRAMDEYR,balanceada,0.6958144903182983,0.3703703880310058,1685.0,7523.0,0.6667953729629517,0.1869170069694519,0.1823714822530746,0.4989592730998993,0.6377310752868652,0.704016923904419,0.3704700171947479,423.0,1817.0,0.6450183987617493,0.1883569210767746,0.1852017939090728,0.4940191507339477,0.6467775702476501,23
IRAMDEYR,balanceada,0.6823031902313232,0.3834421634674072,1578.0,8039.0,0.6625838279724121,0.1917392909526825,0.1816978901624679,0.5307760834693909,0.6435333490371704,0.6914640665054321,0.3777388036251068,405.0,1930.0,0.64571613073349,0.1872641891241073,0.1825497597455978,0.5155502557754517,0.6445140838623047,24
IRAMDEYR,balanceada,0.690198540687561,0.377469539642334,1632.0,7746.0,0.6663120985031128,0.1866553872823715,0.1826527416706085,0.5147190093994141,0.636788010597229,0.6987314820289612,0.3753993213176727,413.0,1867.0,0.6617456674575806,0.1767252385616302,0.1847161501646042,0.5059808492660522,0.6441951990127563,25
IRAMDEYR,balanceada,0.6952528953552246,0.3800052404403686,1632.0,7593.0,0.6643148064613342,0.1903127580881118,0.1856499314308166,0.5147190093994141,0.639481246471405,0.6982029676437378,0.377391904592514,410.0,1874.0,0.6590364575386047,0.1776757687330246,0.1852173954248428,0.5095694065093994,0.6437516808509827,26
IRAMDEYR,balanceada,0.692246675491333,0.3762640058994293,1644.0,7672.0,0.6669002771377563,0.1863381117582321,0.1830475926399231,0.5111507773399353,0.636925995349884,0.7044132947921753,0.3721972703933716,421.0,1816.0,0.6409415602684021,0.1787008196115493,0.1860152333974838,0.4964114725589752,0.6437256336212158,27
IRAMDEYR,balanceada,0.6893396377563477,0.377966433763504,1627.0,7777.0,0.6623204946517944,0.1906321048736572,0.1824871301651001,0.5162057876586914,0.6431978344917297,0.6914640665054321,0.380710631608963,401.0,1934.0,0.6396593451499939,0.1866713166236877,0.1836217790842056,0.5203348994255066,0.6485289931297302,28
IRAMDEYR,balanceada,0.6882164478302002,0.3820122480392456,1602.0,7836.0,0.6619264483451843,0.1914004385471344,0.1834948360919952,0.5236396193504333,0.6437329649925232,0.6882928013801575,0.382071316242218,397.0,1962.0,0.649753749370575,0.1828240305185318,0.1828404814004898,0.5251196026802063,0.6426452398300171,29
IRAMDEYR,balanceada,0.6876548528671265,0.3758368492126465,1634.0,7821.0,0.665582001209259,0.1871954649686813,0.1810471266508102,0.5141242742538452,0.636879563331604,0.6971458792686462,0.3761061728000641,411.0,1881.0,0.6395170092582703,0.1884549111127853,0.1843018233776092,0.5083732008934021,0.6494734287261963,30
IRAMDEYR,balanceada,0.6925109624862671,0.3758376836776733,1647.0,7661.0,0.6628949642181396,0.1909725666046142,0.1830009669065475,0.510258674621582,0.6427870988845825,0.6982029676437378,0.3766394257545471,411.0,1873.0,0.6419678926467896,0.1811241805553436,0.1849434226751327,0.5083732008934021,0.6444405913352966,31
IRAMDEYR,balanceada,0.6892074942588806,0.3780853450298309,1626.0,7782.0,0.6620688438415527,0.1931774765253067,0.1824771463871002,0.516503095626831,0.6449750661849976,0.6890856027603149,0.3832084536552429,396.0,1957.0,0.6420836448669434,0.1849298626184463,0.1835627853870391,0.5263158082962036,0.6593570709228516,32
IRAMDEYR,balanceada,0.6839879751205444,0.3788042068481445,1608.0,7958.0,0.6632868647575378,0.1897625029087066,0.1806856840848922,0.5218554735183716,0.6406798362731934,0.6884249448776245,0.3814001381397247,398.0,1960.0,0.6493747234344482,0.1824993044137954,0.1826522052288055,0.5239234566688538,0.6507576704025269,33
IRAMDEYR,balanceada,0.6891413927078247,0.3843148350715637,1592.0,7818.0,0.6616020798683167,0.1937838196754455,0.1846907883882522,0.5266131162643433,0.6428964138031006,0.6855179667472839,0.3792085647583008,399.0,1981.0,0.6627471446990967,0.178010955452919,0.180727869272232,0.5227272510528564,0.6442126631736755,34
IRAMDEYR,balanceada,0.6876218318939209,0.3822649121284485,1599.0,7857.0,0.6606873273849487,0.1936531662940979,0.183348923921585,0.5245316624641418,0.6475590467453003,0.6861786246299744,0.3824804425239563,395.0,1980.0,0.6594910025596619,0.1793240904808044,0.1821561306715011,0.5275119543075562,0.6567414402961731,35
IRAMDEYR,balanceada,0.68402099609375,0.3824771046638489,1588.0,7977.0,0.6615922451019287,0.191443845629692,0.1820139437913894,0.527802586555481,0.6448571085929871,0.6904069781303406,0.3809190392494201,400.0,1943.0,0.6265780925750732,0.191302478313446,0.1832702755928039,0.5215311050415039,0.6461195349693298,36
IRAMDEYR,balanceada,0.6907931566238403,0.3877231776714325,1578.0,7782.0,0.6596775650978088,0.1955434530973434,0.1865788698196411,0.5307760834693909,0.6456606388092041,0.6937103867530823,0.3818468451499939,401.0,1917.0,0.6331731677055359,0.1947460323572158,0.184948980808258,0.5203348994255066,0.6564494967460632,37
IRAMDEYR,balanceada,0.6879851818084717,0.3890377283096313,1563.0,7882.0,0.6595393419265747,0.1928576976060867,0.1859119981527328,0.5352364182472229,0.6471350193023682,0.6948995590209961,0.3794682025909424,405.0,1904.0,0.6304413676261902,0.1875965148210525,0.1845824420452118,0.5155502557754517,0.6473404765129089,38
IRAMDEYR,balanceada,0.6827326416969299,0.3825641870498657,1584.0,8020.0,0.6606091856956482,0.1955771893262863,0.1815491318702697,0.5289919972419739,0.6459253430366516,0.6875,0.3846153318881988,393.0,1972.0,0.6533747911453247,0.180014818906784,0.1834368556737899,0.529904305934906,0.6422669887542725,39
IRAMDEYR,balanceada,0.6801889538764954,0.3816646337509155,1582.0,8099.0,0.659381628036499,0.1966121047735214,0.1802631616592407,0.529586672782898,0.6487348675727844,0.6868393421173096,0.383547306060791,394.0,1976.0,0.6485984325408936,0.1888632178306579,0.1827957034111023,0.5287081599235535,0.6413846015930176,40
IRAMDEYR,balanceada,0.6780416965484619,0.3862056732177734,1551.0,8195.0,0.6589910387992859,0.195564404129982,0.181073248386383,0.5388046503067017,0.6496303081512451,0.685782253742218,0.380811870098114,397.0,1981.0,0.6391614675521851,0.1915786117315292,0.1814049631357193,0.5251196026802063,0.6448779702186584,41
IRAMDEYR,balanceada,0.682996928691864,0.3854251205921173,1569.0,8027.0,0.6607578992843628,0.1932990252971649,0.1826697885990142,0.5334522724151611,0.6441258788108826,0.6872357130050659,0.3837471604347229,394.0,1973.0,0.6418114304542542,0.1888019442558288,0.1830227673053741,0.5287081599235535,0.6558117270469666,42
IRAMDEYR,balanceada,0.6888771653175354,0.3843650221824646,1591.0,7827.0,0.6593950986862183,0.1959006488323211,0.1846025586128235,0.5269104838371277,0.6461413502693176,0.6877642869949341,0.3825421631336212,396.0,1967.0,0.6409865021705627,0.1831581592559814,0.1828001588582992,0.5263158082962036,0.6464152932167053,43
IRAMDEYR,balanceada,0.6859700679779053,0.3892886042594909,1556.0,7950.0,0.6563589572906494,0.2044804841279983,0.1852003633975982,0.5373178720474243,0.6536183953285217,0.6890856027603149,0.3802546560764313,400.0,1953.0,0.6447144150733948,0.1796831786632537,0.1825031340122223,0.5215311050415039,0.6530073881149292,44
IRAMDEYR,balanceada,0.6790987849235535,0.3854695558547973,1558.0,8156.0,0.6606521606445312,0.1937142163515091,0.1812067031860351,0.5367231369018555,0.6455681324005127,0.6867071986198425,0.3805385828018188,398.0,1973.0,0.6413010358810425,0.1902696788311004,0.1816673576831817,0.5239234566688538,0.6493614912033081,45
IRAMDEYR,balanceada,0.6890753507614136,0.3840978741645813,1593.0,7819.0,0.6579368710517883,0.1995945125818252,0.1845865100622177,0.5263158082962036,0.6496720314025879,0.6900105476379395,0.3792379796504974,402.0,1944.0,0.6342431306838989,0.1922153979539871,0.1825063079595565,0.519138753414154,0.6453498005867004,46
