target,estrategia_pesos,accuracy,f2,false_negatives,false_positives,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_f2,val_false_negatives,val_false_positives,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,epoca
IRAMDEYR,sin_ponderar,0.8644247055053711,0.0520869195461273,3212.0,892.0,0.4224410057067871,0.1219604238867759,0.1447746902704239,0.0449003875255584,0.5261461734771729,0.8895348906517029,0.0,836.0,0.0,0.3763986527919769,0.1520231515169143,0.0,0.0,0.5864464044570923,1
IRAMDEYR,sin_ponderar,0.8858643770217896,0.0132197402417659,3327.0,128.0,0.3619129061698913,0.1413660645484924,0.2195121943950653,0.0107047278434038,0.5533909201622009,0.8886099457740784,0.0014912015758454,835.0,8.0,0.3482685983181,0.1581234484910965,0.1111111119389534,0.0011961722047999,0.6172963976860046,2
IRAMDEYR,sin_ponderar,0.8867563009262085,0.0150746349245309,3322.0,106.0,0.3555103540420532,0.1524256467819214,0.2789115607738495,0.0121914958581328,0.574533998966217,0.8895348906517029,0.0,836.0,0.0,0.3424443900585174,0.1628378033638,0.0,0.0,0.6164079904556274,3
IRAMDEYR,sin_ponderar,0.8867232799530029,0.0143424523994326,3324.0,105.0,0.3525318503379822,0.1574058681726455,0.2708333432674408,0.0115967886522412,0.5851119756698608,0.8895348906517029,0.0,836.0,0.0,0.3425276577472687,0.1671454608440399,0.0,0.0,0.6119819283485413,4
IRAMDEYR,sin_ponderar,0.8874830603599548,0.0125340986996889,3329.0,77.0,0.3505915403366089,0.1599354743957519,0.3063063025474548,0.0101100206375122,0.5913910269737244,0.8894027471542358,0.0,836.0,1.0,0.3406190574169159,0.1706810891628265,0.0,0.0,0.6307001113891602,5
IRAMDEYR,sin_ponderar,0.88685542345047,0.0084808245301246,3340.0,85.0,0.3502441048622131,0.1598046422004699,0.2129629701375961,0.0068391319364309,0.5922526121139526,0.8850423097610474,0.004432622808963,833.0,37.0,0.3455967307090759,0.1664545685052871,0.0750000029802322,0.0035885167308151,0.6307485699653625,6
IRAMDEYR,sin_ponderar,0.8874830603599548,0.0129008470103144,3328.0,78.0,0.3487221300601959,0.1641441434621811,0.3097345232963562,0.010407374240458,0.5987218618392944,0.8891384601593018,0.0,836.0,3.0,0.3400531411170959,0.1725998222827911,0.0,0.0,0.6274042725563049,7
IRAMDEYR,sin_ponderar,0.8878464698791504,0.011809860356152,3331.0,64.0,0.3481792211532593,0.166216492652893,0.3333333432674408,0.0095153134316205,0.5988625884056091,0.8878171443939209,0.0014885376440361,835.0,14.0,0.341383546590805,0.1688490360975265,0.0666666701436042,0.0011961722047999,0.6287476420402527,8
IRAMDEYR,sin_ponderar,0.8879786133766174,0.0132821705192327,3327.0,64.0,0.3473926484584808,0.1661669313907623,0.3600000143051147,0.0107047278434038,0.6004472374916077,0.8894027471542358,0.0,836.0,1.0,0.3401692807674408,0.1699623018503189,0.0,0.0,0.6297056078910828,9
IRAMDEYR,sin_ponderar,0.8877143263816833,0.0088652465492486,3339.0,60.0,0.345613420009613,0.1683735996484756,0.2857142984867096,0.0071364850737154,0.6062692999839783,0.8895348906517029,0.0,836.0,0.0,0.338753879070282,0.1797271519899368,0.0,0.0,0.6390089392662048,10
