target,estrategia_pesos,accuracy,f2,false_negatives,false_positives,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_f2,val_false_negatives,val_false_positives,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,epoca
IRSUICTHNK,sin_ponderar,0.899970293045044,0.0372195839881897,2181.0,847.0,0.3534665107727051,0.0781498104333877,0.0803474485874176,0.0328159630298614,0.5151504874229431,0.9252114295959472,0.0,563.0,3.0,0.310419887304306,0.0863339155912399,0.0,0.0,0.5400248169898987,1
IRSUICTHNK,sin_ponderar,0.9239205718040466,0.0137091446667909,2230.0,73.0,0.2766393721103668,0.0937696918845176,0.2551020383834839,0.0110864741727709,0.5421733856201172,0.9249471426010132,0.0,563.0,5.0,0.2719171047210693,0.0934673994779586,0.0,0.0,0.5766997337341309,2
IRSUICTHNK,sin_ponderar,0.9237223863601683,0.0076906159520149,2241.0,68.0,0.2737414538860321,0.0975270420312881,0.170731708407402,0.0062084258534014,0.5580357909202576,0.9256078004837036,0.0,563.0,0.0,0.2678724825382232,0.0998712629079818,0.0,0.0,0.5771256685256958,3
IRSUICTHNK,sin_ponderar,0.924019694328308,0.0098890215158462,2237.0,63.0,0.2722379863262176,0.1012159511446952,0.2222222238779068,0.0079822614789009,0.5661312937736511,0.9250792860984802,0.0,563.0,4.0,0.2651818692684173,0.1027245298027992,0.0,0.0,0.5870116949081421,4
IRSUICTHNK,sin_ponderar,0.9244161248207092,0.0071593783795833,2242.0,46.0,0.2695105373859405,0.1040142774581909,0.2203389853239059,0.0057649668306112,0.5749951004981995,0.9253435730934144,0.0022163118701428,562.0,3.0,0.2639134526252746,0.1074949726462364,0.25,0.0017761989729478,0.6021525263786316,5
IRSUICTHNK,sin_ponderar,0.924515187740326,0.0071617448702454,2242.0,43.0,0.2684530317783355,0.1052036583423614,0.2321428507566452,0.0057649668306112,0.5747411847114563,0.922700822353363,0.0065789464861154,560.0,25.0,0.2675923407077789,0.108054295182228,0.1071428582072258,0.005328597035259,0.604381799697876,6
IRSUICTHNK,sin_ponderar,0.924911618232727,0.0088202860206365,2239.0,34.0,0.2675325572490692,0.109016478061676,0.3199999928474426,0.0070953438989818,0.5818422436714172,0.9256078004837036,0.0,563.0,0.0,0.2634991407394409,0.1096572205424308,0.0,0.0,0.5939866900444031,7
IRSUICTHNK,sin_ponderar,0.9245482683181764,0.0060632778331637,2244.0,40.0,0.2678958177566528,0.106118693947792,0.2156862765550613,0.0048780487850308,0.5798024535179138,0.9256078004837036,0.0,563.0,0.0,0.2635030150413513,0.1092014834284782,0.0,0.0,0.6032018065452576,8
IRSUICTHNK,sin_ponderar,0.9247134327888488,0.0071664815768599,2242.0,37.0,0.2661304771900177,0.1108245328068733,0.2599999904632568,0.0057649668306112,0.5833888649940491,0.9221723079681396,0.0109265707433223,558.0,31.0,0.2672764360904693,0.1056688800454139,0.1388888955116272,0.0088809942826628,0.5892466306686401,9
IRSUICTHNK,sin_ponderar,0.924515187740326,0.0033105269540101,2249.0,36.0,0.2669751644134521,0.1093654409050941,0.1428571492433548,0.0026607539039105,0.5861241817474365,0.9234936833381652,0.0109745375812053,558.0,21.0,0.2661363184452057,0.1072707921266555,0.1923076957464218,0.0088809942826628,0.5990636348724365,10
