target,estrategia_pesos,accuracy,f2,false_negatives,false_positives,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_f2,val_false_negatives,val_false_positives,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,epoca
IRSUITRYYR,balanceada,0.5497340559959412,0.0777733549475669,101.0,13529.0,0.688393771648407,0.0354354493319988,0.0170735251158475,0.699404776096344,0.6712495684623718,0.8580867052078247,0.1720505207777023,35.0,1039.0,0.5064418911933899,0.0661471188068389,0.0450367629528045,0.5833333134651184,0.8133811950683594,1
IRSUITRYYR,balanceada,0.6923788189888,0.1334617435932159,45.0,9267.0,0.4956894218921661,0.0912089496850967,0.0304457005113363,0.8660714030265808,0.864584743976593,0.9045982956886292,0.2327746301889419,34.0,688.0,0.3869050443172455,0.0865861028432846,0.0677506774663925,0.5952380895614624,0.8325124979019165,2
IRSUITRYYR,balanceada,0.7700769901275635,0.1728971898555755,40.0,6920.0,0.4234946966171264,0.1495214253664016,0.0410199575126171,0.8809523582458496,0.907290816307068,0.829149067401886,0.1912731528282165,20.0,1273.0,0.4362212121486664,0.1048575639724731,0.047868363559246,0.761904776096344,0.8680797815322876,3
IRSUITRYYR,balanceada,0.8232631683349609,0.2227793484926223,25.0,5325.0,0.3514222502708435,0.2077906131744384,0.0551809780299663,0.925595223903656,0.9417389035224916,0.8689217567443848,0.2064896523952484,28.0,964.0,0.3773727118968963,0.0911315605044364,0.0549019612371921,0.6666666865348816,0.8576741218566895,4
IRSUITRYYR,balanceada,0.8623765110969543,0.2744321823120117,17.0,4149.0,0.2916418612003326,0.2852986454963684,0.0713965967297554,0.949404776096344,0.9636638760566713,0.9232293963432312,0.2437702715396881,39.0,542.0,0.2410145252943039,0.1192887127399444,0.0766609907150268,0.5357142686843872,0.8489634990692139,5
IRSUITRYYR,balanceada,0.8809751868247986,0.2996754944324493,22.0,3581.0,0.2598527371883392,0.3481057584285736,0.0806161761283874,0.9345238208770752,0.9690269827842712,0.9205867052078248,0.2386001497507095,39.0,562.0,0.2574420869350433,0.0898417010903358,0.0741350874304771,0.5357142686843872,0.8449143767356873,6
IRSUITRYYR,balanceada,0.902547001838684,0.3489130139350891,15.0,2935.0,0.2178951352834701,0.4302290380001068,0.0985872223973274,0.9553571343421936,0.9791621565818788,0.910015881061554,0.2154750227928161,40.0,641.0,0.2658130526542663,0.0887876078486442,0.0642335787415504,0.523809552192688,0.8248080015182495,7
IRSUITRYYR,balanceada,0.9166198968887328,0.3875598013401031,12.0,2512.0,0.201790452003479,0.4270115792751312,0.1142454147338867,0.9642857313156128,0.9797044396400452,0.9644556045532228,0.2347825765609741,57.0,212.0,0.1331521868705749,0.0854767858982086,0.1129707098007202,0.3214285671710968,0.8036947250366211,8
IRSUITRYYR,balanceada,0.9207162261009216,0.398371934890747,13.0,2387.0,0.1818276494741439,0.5017879605293274,0.1191881895065307,0.961309552192688,0.983820617198944,0.9404069781303406,0.2496798485517501,45.0,406.0,0.1834810823202133,0.0878677070140838,0.0876404494047164,0.4642857015132904,0.8230217099189758,9
IRSUITRYYR,balanceada,0.9344257116317748,0.4438032507896423,13.0,1972.0,0.1664583683013916,0.4696709513664245,0.1407407373189926,0.961309552192688,0.985952079296112,0.9446353316307068,0.2238805443048477,51.0,368.0,0.1697039902210235,0.077654629945755,0.082294262945652,0.3928571343421936,0.7906486392021179,10
