variable,descripcion,numero_indices,indice_inicio
AGE3,RECODE - FINAL EDITED AGE,9,0
SERVICE,EVER BEEN IN THE US ARMED FORCES,6,9
MILSTAT,CURRENT MILITARY STATUS,7,15
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,7,22
ACTD2001,SEPTEMBER 2001 OR LATER,8,29
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),8,37
ACTD7590,MAY 1975 TO JULY 1990,8,45
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),8,53
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),8,61
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,8,69
NOMARR2,NUMBER OF TIMES MARRIED,6,77
HEALTH,OVERALL HEALTH,8,83
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,9,91
SPEAKENGL,HOW WELL SPEAK ENGLISH,9,100
LVLDIFSEE2,LEVEL OF DIFFICULTY SEEING EVEN WITH GLASSES,8,109
LVLDIFHEAR2,LEVEL OF DIFFICULTY HEARING EVEN WITH HEARING AIDS,8,117
LVLDIFWALK2,LEVEL OF DIFFICULTY WALKING OR CLIMBING STEPS,8,125
LVLDIFMEM2,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,8,133
LVLDIFCARE2,LEVEL OF DIFFICULTY WITH SELF-CARE,8,141
LVLDIFCOMM2,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,8,149
IRSEX,RESPONDENT SEX - IMPUTATION REVISED,3,157
IRMARIT,IMPUTATION REVISED MARITAL STATUS,5,160
IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED,12,165
CATAGE,RC-AGE CATEGORY,4,177
CATAG2,RC-AGE CATEGORY RECODE (3 LEVELS),3,181
CATAG3,RC-AGE CATEGORY RECODE (5 LEVELS),5,184
CATAG6,RC-AGE CATEGORY RECODE (6 LEVELS),6,189
CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS),5,195
PREGAGE2,RC-PREGNANCY AGE CATEGORY RECODE,4,200
DRVINAGE,RC-DUI AGE CATEGORY RECODE,3,204
DRVINDETAG,RC-DUI DETAILED AGE CATEGORY RECODE,4,207
SEXAGE,RC-COMBINED SEX BY AGE CATEGORY INDICATOR,4,211
NEWRACE2,RC-RACE/HISPANICITY RECODE (7 LEVELS),8,215
SEXRACE,RC-COMBINED SEX BY RACE INDICATOR,8,223
EDUHIGHCAT,RC-EDUCATION CATEGORIES,5,231
HEALTH2,RC-OVERALL HEALTH RECODE,6,236
EDUSCHLGO,NOW GOING TO SCHOOL,8,242
EDUSCHGRD2,WHAT GRADE IN NOW/WILL BE IN,14,250
EDUFULPAR,FULL OR PART TIME,8,264
EDUSCKEST,BEST ESTIMATE # DAYS MISSED BECAUSE SICK OR INURED,11,272
EDUSKPEST,BEST ESTIMATE # DAYS MISSED BECAUSE SKIPPED OR CUT,10,283
MILTFAMLY,ANY IMMEDIATE FAMILY CURRENTLY IN US MILITARY,7,293
MILTSPPAR,SPOUSE OR PARTNER IN MILITARY,8,300
MILTPARNT,FATHER OR MOTHER IN MILITARY,8,308
MILTCHLDR,SON OR DAUGHTER IN MILITARY,8,316
MILTSIBLN,SISTER OR BROTHER IN MILITARY,8,324
ENRLCOLLFT2,RC-COLLEGE ENROLLMENT-FULL TIME,4,332
ENRLCOLLST2,RC-COLLEGE ENROLLMENT,6,336
WRKSTATWK2,WORK SITUATION IN PAST WEEK - RECODE,11,342
WRKDPSTWK,WORK AT JOB LAST WEEK,8,353
WRKHADJOB,DID YOU HAVE A JOB OR BUSINESS,9,361
WRK35WKUS,USUALLY WORK 35 OR MORE HRS PER WEEK,8,370
WRKRSNNOT,REASON FOR NOT WORKING AT JOB - PAST WK,12,378
WRKRSNJOB,REASON FOR NOT HAVING A JOB - PAST WK,14,390
WRKEFFORT,"PAST 30 DAYS, MAKE EFFORT TO FIND WORK",7,404
WRKDPSTYR,"PAST 12 MOS, WORKED AT ANY JOB",8,411
WRKSELFEM,"PAST 12 MOS, SELF EMPLOYED",9,419
WRKNUMJOB2,"PAST 12 MOS, HOW MANY EMPLOYERS",10,428
WRKNJBPYR,"PAST 12 MOS, TIME WITH NO JOB",8,438
IRWRKSTAT18,Situación laboral (18+),5,446
EDFAM18,RC-EDITED INDICATOR: FAMILY IN HH 18 OR OLDER,4,451
IRHHSIZ2,RECODE - IMPUTATION-REVISED # PERSONS IN HH,7,455
IRKI17_2,RECODE - IMPUTATION-REVISED # KIDS AGED<18 IN HH,5,462
IRHH65_2,REC - IMPUTATION-REVISED # OF PER IN HH AGED>=65,4,467
MEDICARE,COVERED BY MEDICARE,6,471
CAIDCHIP,COVERED BY MEDICAID/CHIP,7,477
CHAMPUS,"COV BY TRICARE, CHAMPUS, CHAMPVA, VA, MILITARY",6,484
PRVHLTIN,COVERED BY PRIVATE INSURANCE,6,490
GRPHLTIN,PRIVATE PLAN OFFERED THROUGH EMPLOYER OR UNION,7,496
HLTINALC,PRIVATE INSURANCE COVERS TRMT FOR ALCOHOL ABUSE/ALCOHOLISM,7,503
HLTINDRG,PRIVATE INSURANCE COVERS TRMT FOR DRUG ABUSE,7,510
HLTINMNT,PRIVATE INSURANCE COVERS TRMT FOR MENTAL/EMOTIONAL PROBLEMS,7,517
HLTINNOS,COVERED BY HEALTH INSUR (NOT OTHERWISE SPECIFIED),7,524
HLCNOTYR,ANYTIME DID NOT HAVE HEALTH INS/COVER PAST 12 MOS,8,531
HLCLAST,TIME SINCE LAST HAD HEALTH CARE COVERAGE,10,539
HLLOSRSN,MAIN REASON STOPPED COVERED BY HEALTH INSURANCE,18,549
HLNVCOST,NEVER HAD HEALTH INSURANCE BECAUSE COST TOO HIGH,7,567
HLNVOFFR,NEVER HAD HEALTH INSURANCE BECAUSE EMPLOYER DOESN'T OFFER,7,574
HLNVREF,NEVER HAD HEALTH INSURANCE BC INS COMPANY REFUSED COVERAGE,7,581
HLNVNEED,NEVER HAD HEALTH INSURANCE BECAUSE DON'T NEED IT,7,588
HLNVSOR,NEVER HAD HEALTH INSURANCE BECAUSE OF SOME OTHER REASON,7,595
IRMEDICR,MEDICARE - IMPUTATION REVISED,3,602
IRMCDCHP,MEDICAID/CHIP - IMPUTATION REVISED,3,605
IRCHMPUS,CHAMPUS - IMPUTATION REVISED,3,608
IRPRVHLT,PRIVATE HEALTH INSURANCE - IMPUTATION REVISED,3,611
IROTHHLT,OTHER HEALTH INSURANCE - IMPUTATION REVISED,4,614
HLCALL99,YES TO MEDICARE/MEDICAID/CHAMPUS/PRVHLTIN,3,618
ANYHLTI2,COVERED BY ANY HEALTH INSURANCE - RECODE,6,621
IRINSUR4,RC-OVERALL HEALTH INSURANCE - IMPUTATION REVISED,3,627
OTHINS,"RC-HEALTH INSURANCE OTHER THAN PRIVATE, MEDICAID/CHIP",3,630
CELLWRKNG,WORKING CELL PHONE,7,633
CELLNOTCL,NOT A CELL PHONE,7,640
IRFAMSOC,FAM RECEIVE SS OR RR PAYMENTS - IMPUTATION REVISED,3,647
IRFAMSSI,FAM RECEIVE SSI - IMPUTATION REVISED,3,650
IRFSTAMP,RESP/OTH FAM MEM REC FOOD STAMPS - IMPUTATION REVISED,3,653
IRFAMPMT,FAM RECEIVE PUBLIC ASSIST - IMPUTATION REVISED,3,656
IRFAMSVC,FAM REC WELFARE/JOB PL/CHILDCARE - IMPUTATION REVISED,3,659
IRPINC3,RECODE -RESP TOT INCOME - IMPUTATION REVISED,8,662
IRFAMIN3,RECODE - TOT FAM INCOME - IMPUTATION REVISED,8,670
GOVTPROG,RC-PARTICIPATED IN ONE OR MORE GOVT ASSIST PROGRAMS,3,678
