target,descripcion,familia,variable,importancia_shap,etiqueta_variable,modulo,posicion
IRAMDEYR,Episodio depresivo mayor,ML,CAMHPROB2,0.26815969065856177,RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE,RECODED EMERGING ISSUES,1
IRAMDEYR,Episodio depresivo mayor,ML,LVLDIFMEM2,0.05611825585830957,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,DEMOGRAPHICS,2
IRAMDEYR,Episodio depresivo mayor,ML,RCVYMHPRB,0.03092339725233614,RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE,RECODED EMERGING ISSUES,3
IRAMDEYR,Episodio depresivo mayor,ML,PREGST,0.026294358232989916,RC-PREGNANCY STATUS OF FEMALES AGED 12-50,RECODED HEALTH,4
IRAMDEYR,Episodio depresivo mayor,ML,SVYRSUDANY,0.02352870191354304,"RC-SUBSTANCE USE DISORDER SEVERITY, PY USERS",RECODED SUBSTANCE USE DISORDER,5
IRAMDEYR,Episodio depresivo mayor,ML,HEALTH2,0.020784476141445338,RC-OVERALL HEALTH RECODE,RECODED DEMOGRAPHICS,6
IRAMDEYR,Episodio depresivo mayor,ML,LVLDIFCARE2,0.01794166238699109,LEVEL OF DIFFICULTY WITH SELF-CARE,DEMOGRAPHICS,7
IRAMDEYR,Episodio depresivo mayor,ML,TQSDANYFLG,0.012975595921278006,RC-ANY TRANQUILIZERS OR SEDATIVES - EVER USED,RECODED DRUG USE,8
IRAMDEYR,Episodio depresivo mayor,ML,NOMARR2,0.011355058941058815,NUMBER OF TIMES MARRIED,DEMOGRAPHICS,9
IRAMDEYR,Episodio depresivo mayor,ML,LVLDIFCOMM2,0.011279699097387496,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,DEMOGRAPHICS,10
IRAMDEYR,Episodio depresivo mayor,ML,NMERTMT2,0.009883657741360363,# OF TIMES BEEN TREATED IN EMER ROOM PAST 12 MOS,HEALTH,11
IRAMDEYR,Episodio depresivo mayor,ML,SEXAGE,0.008378895609639584,RC-COMBINED SEX BY AGE CATEGORY INDICATOR,RECODED DEMOGRAPHICS,12
IRAMDEYR,Episodio depresivo mayor,ML,CBDHMPFLAG,0.007935557455755771,RC-CBD OR HEMP - EVER USED,RECODED DRUG USE,13
IRAMDEYR,Episodio depresivo mayor,ML,MRJAGLST,0.006554843791760504,HOW OLD WERE YOU THE LAST TIME USED MARIJUANA/CANNABIS,PRIOR SUBSTANCE USE,14
IRAMDEYR,Episodio depresivo mayor,ML,CATAG7,0.006355106166563926,RC-AGE CATEGORY RECODE (7 LEVELS),RECODED DEMOGRAPHICS,15
IRSUICTHNK,Ideación suicida,DL,CAMHPROB,0.024672063486163843,THINK EVER HAD PROBLEM WITH OWN MENTAL HEALTH,EMERGING ISSUES,1
IRSUICTHNK,Ideación suicida,DL,CAMHPROB2,0.02267725525472522,RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE,RECODED EMERGING ISSUES,2
IRSUICTHNK,Ideación suicida,DL,CAMHRCVR,0.01993856431414489,THINK IN RECOVERY FROM MENTAL HEALTH PROBLEM,EMERGING ISSUES,3
IRSUICTHNK,Ideación suicida,DL,COPDAGE,0.010838104185182607,AGE COPD 1ST DIAGNOSED,HEALTH,4
IRSUICTHNK,Ideación suicida,DL,LVLDIFMEM2,0.010206284186523997,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,DEMOGRAPHICS,5
IRSUICTHNK,Ideación suicida,DL,LVLDIFCARE2,0.008524278949430033,LEVEL OF DIFFICULTY WITH SELF-CARE,DEMOGRAPHICS,6
IRSUICTHNK,Ideación suicida,DL,WRKSKIPMO,0.007859862371412394,# DAYS SKIPPED WORK PAST 30 DAYS,EMPLOYMENT,7
