variable,objetivos_principales,posicion_media,etiqueta_variable,modulo,IRAMDEYR,IRSUICTHNK,IRSUIPLANYR,IRSUITRYYR
CAMHPROB2,4,1.75,RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE,RECODED EMERGING ISSUES,1.0,2.0,2.0,2.0
LVLDIFMEM2,4,6.75,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,DEMOGRAPHICS,2.0,5.0,9.0,11.0
LVLDIFCARE2,4,7.0,LEVEL OF DIFFICULTY WITH SELF-CARE,DEMOGRAPHICS,7.0,6.0,7.0,8.0
CAMHPROB,3,1.0,THINK EVER HAD PROBLEM WITH OWN MENTAL HEALTH,EMERGING ISSUES,,1.0,1.0,1.0
CAMHRCVR,3,3.0,THINK IN RECOVERY FROM MENTAL HEALTH PROBLEM,EMERGING ISSUES,,3.0,3.0,3.0
COPDAGE,3,4.333333333333333,AGE COPD 1ST DIAGNOSED,HEALTH,,4.0,5.0,4.0
MOVSINPYR2,3,8.333333333333334,# TIMES MOVED PAST 12 MONTHS- RECODED,DEMOGRAPHICS,,8.0,10.0,7.0
SNRLGIMP,3,8.666666666666666,MY RELIGIOUS BELIEFS ARE VERY IMPORTANT,SOCIAL ENVIRONMENT,,9.0,8.0,9.0
RCVYMHPRB,3,9.333333333333334,RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE,RECODED EMERGING ISSUES,3.0,12.0,13.0,
WRKSKIPMO,3,10.666666666666666,# DAYS SKIPPED WORK PAST 30 DAYS,EMPLOYMENT,,7.0,11.0,14.0
HPUSETOB,3,12.0,HEALTH PROF ASKED PST 12 MOS: TOBACCO USE,HEALTH,,14.0,12.0,10.0
RSKYFQDGR,3,12.666666666666666,GET A REAL KICK OUT OF DOING DANGEROUS THINGS,RISK/AVAILABILITY,,11.0,14.0,13.0
EDUSCKCOM,2,4.5,RC - HOW MANY DAYS MISSED SCHOOL FROM SICK (COMBINED),EDUCATION,,,4.0,5.0
EDUSCKMON,2,6.0,HOW MANY DAYS MISSED SCHOOL FROM SICK,EDUCATION,,,6.0,6.0
HEALTH2,2,8.0,RC-OVERALL HEALTH RECODE,RECODED DEMOGRAPHICS,6.0,10.0,,
LVLDIFCOMM2,2,12.5,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,DEMOGRAPHICS,10.0,,15.0,
RSKYFQTES,2,13.5,LIKE TO TEST YOURSELF BY DOING RISKY THINGS,RISK/AVAILABILITY,,15.0,,12.0
