orden,variable,etiqueta_variable,modulo,tipo_dato,usa_ml,usa_dl
1,EDUSCKMON,HOW MANY DAYS MISSED SCHOOL FROM SICK,EDUCATION,int64,False,True
2,EDUSCKCOM,RC - HOW MANY DAYS MISSED SCHOOL FROM SICK (COMBINED),EDUCATION,int64,False,True
3,EDUSKPMON,HOW MANY DAYS MISSED SCHOOL FROM SKIPPING,EDUCATION,int64,False,True
4,EDUSKPCOM,RC - HOW MANY DAYS MISSED SCHOOL FROM SKIPPING (COMBINED),EDUCATION,int64,False,True
5,WRKDHRSWK2,HOW MANY HOURS WORKED LAST WEEK,EMPLOYMENT,int64,False,True
6,WRKNJBWKS,HOW MANY WKS W/O JOB IN PAST 12 MOS,EMPLOYMENT,int64,False,True
7,WRKLASTYR2,WHAT YEAR LAST WORKED,EMPLOYMENT,int64,False,True
8,WRKSICKMO,# DAYS MISSED WORK FOR INJURY/ILLNESS PAST 30 DAYS,EMPLOYMENT,int64,False,True
9,WRKSKIPMO,# DAYS SKIPPED WORK PAST 30 DAYS,EMPLOYMENT,int64,False,True
10,NRCH17_2,RECODED # R's CHILDREN < 18 IN HOUSEHOLD,HOUSEHOLD COMPOSITION (ROSTER),float64,False,True
11,HLCNOTMO,"PAST 12 MOS, HOW MANY MOS W/O COVERAGE",HEALTH INSURANCE,int64,False,True
12,IRWELMOS,NO OF MONTHS ON WELFARE - IMPUTATION REVISED,IMPUTED INCOME,int64,False,True
13,CIGAVGM,RC-NUMBER OF CIGARETTES SMOKED PER USER IN PAST MONTH,RECODED DRUG USE,float64,False,True
14,ALCNUMDKPM,RC-NUMBER OF ALC BEVS DRANK PER USER IN PAST MONTH,RECODED DRUG USE,float64,False,True
15,MRJAGLST,HOW OLD WERE YOU THE LAST TIME USED MARIJUANA/CANNABIS,PRIOR SUBSTANCE USE,int64,True,True
16,MRJYLU,YEAR OF LAST MARIJUANA/CANNABIS USE - RECODE,PRIOR SUBSTANCE USE,int64,True,True
17,CIGAGLST,HOW OLD WERE YOU THE LAST TIME SMOKED CIGARETTE,PRIOR SUBSTANCE USE,int64,False,True
18,CIGYLU,YEAR OF LAST CIGARETTE USE - RECODE,PRIOR SUBSTANCE USE,int64,False,True
19,CIGDLLST,HOW OLD WERE YOU THE LAST TIME SMOKED CIGS DAILY,PRIOR SUBSTANCE USE,int64,False,True
20,CIGDLYLU,YEAR OF LAST CIGARETTE USE EVERY DAY - RECODE,PRIOR SUBSTANCE USE,int64,False,True
21,SMKAGLAST,HOW OLD WERE YOU LAST THE TIME USED SMOKELESS TOB,PRIOR SUBSTANCE USE,int64,False,True
22,SMKYRLAST,YEAR OF LAST SMOKELESS TOBACCO USE - RECODE,PRIOR SUBSTANCE USE,int64,False,True
23,CGRAGLST,HOW OLD WERE YOU THE LAST TIME SMOKED CIGAR/CIGARILLO,PRIOR SUBSTANCE USE,int64,False,True
24,CIGARYLU,YEAR OF LAST CIGAR/CIGARILLO USE - RECODE,PRIOR SUBSTANCE USE,int64,False,True
25,ALCAGLST,HOW OLD WERE YOU LAST TIME DRANK ALCOHOL BEVERAGE,PRIOR SUBSTANCE USE,int64,False,True
26,ALCYLU,YEAR OF LAST ALCOHOL USE - RECODE,PRIOR SUBSTANCE USE,int64,False,True
27,COCAGLST,HOW OLD WERE YOU THE LAST TIME USED COCAINE,PRIOR SUBSTANCE USE,int64,False,True
28,COCYLU,YEAR OF LAST COCAINE USE - RECODE,PRIOR SUBSTANCE USE,int64,False,True
29,CRKAGLST,HOW OLD WERE YOU THE LAST TIME USED CRACK,PRIOR SUBSTANCE USE,int64,False,True
30,CRKYLU,YEAR OF LAST CRACK USE - RECODE,PRIOR SUBSTANCE USE,int64,False,True
31,HERAGLST,HOW OLD WERE YOU THE LAST TIME USED HEROIN,PRIOR SUBSTANCE USE,int64,False,True
32,HERYLU,YEAR OF LAST HEROIN USE - RECODE,PRIOR SUBSTANCE USE,int64,False,True
33,HALLAGLST,HOW OLD WERE YOU THE LAST TIME USED HALLUCINOGEN,PRIOR SUBSTANCE USE,int64,True,True
34,HALLYRLST,YEAR OF LAST HALLUCINOGEN USE - RECODE,PRIOR SUBSTANCE USE,int64,True,True
35,LSDAGLST,HOW OLD WERE YOU THE LAST TIME USED LSD,PRIOR SUBSTANCE USE,int64,False,True
36,LSDYLU,YEAR OF LAST LSD USE - RECODE,PRIOR SUBSTANCE USE,int64,False,True
37,PCPAGLST,HOW OLD WERE YOU THE LAST TIME USED PCP,PRIOR SUBSTANCE USE,int64,False,True
38,PCPYLU,YEAR OF LAST PCP USE - RECODE,PRIOR SUBSTANCE USE,int64,False,True
39,ECSTMOAGL,HOW OLD WERE YOU THE LAST TIME USED ECSTASY/MOLLY,PRIOR SUBSTANCE USE,int64,False,True
40,ECSTMOYLU,YEAR OF LAST ECSTASY OR MOLLY USE - RECODE,PRIOR SUBSTANCE USE,int64,False,True
41,INHLAGLST,HOW OLD WERE YOU THE LAST TIME USED INHALANTS,PRIOR SUBSTANCE USE,int64,True,True
42,INHLYRLST,YEAR OF LAST INHALANT USE - RECODE,PRIOR SUBSTANCE USE,int64,True,True
43,METHAGLST,HOW OLD WERE YOU THE LAST TIME USED METH,PRIOR SUBSTANCE USE,int64,False,True
44,METHYRLST,YEAR OF LAST METHAMPHETAMINE USE - RECODE,PRIOR SUBSTANCE USE,int64,False,True
45,HTINCHE2,HEIGHT IN INCHES WITHOUT SHOES - RECODE,HEALTH,int64,False,True
46,WTPOUND2,WEIGHT IN POUNDS - RECODE,HEALTH,int64,False,True
47,NMERTMT2,# OF TIMES BEEN TREATED IN EMER ROOM PAST 12 MOS,HEALTH,int64,True,True
48,NMNGTHS2,# NIGHTS STAYED IN HOSPITAL OVERNIGHT OR LONGER,HEALTH,int64,True,True
49,NMVSOPT2,# OUTPATIENT VISITS PAST 12 MOS - RECODE,HEALTH,int64,False,True
50,HRTCONDAG,AGE HEART CONDITION 1ST DIAGNOSED,HEALTH,int64,False,True
51,DIABETEAG,AGE DIABETES 1ST DIAGNOSED,HEALTH,int64,False,True
52,COPDAGE,AGE COPD 1ST DIAGNOSED,HEALTH,int64,False,True
53,CIRROSAGE,AGE CIRRHOSIS 1ST DIAGNOSED,HEALTH,int64,False,True
54,HEPBCAGE,AGE HEPATITIS 1ST DIAGNOSED,HEALTH,int64,False,True
55,KIDNYDSAG,AGE KIDNEY DISEASE 1ST DIAGNOSED,HEALTH,int64,False,True
56,ASTHMAAGE,AGE ASTHMA 1ST DIAGNOSED,HEALTH,int64,False,True
57,HIVAIDSAG,AGE 1ST FOUND OUT HAD HIV/AIDS,HEALTH,int64,False,True
58,HIGHBPAGE,AGE WHEN HIGH BLOOD PRESSURE 1ST DIAGNOSED,HEALTH,int64,False,True
59,BMI2,RC-BODY MASS INDEX (BMI),RECODED HEALTH,float64,False,True
60,AGE3,RECODE - FINAL EDITED AGE,DEMOGRAPHICS,int64,False,True
61,SERVICE,EVER BEEN IN THE US ARMED FORCES,DEMOGRAPHICS,int64,False,True
62,MILSTAT,CURRENT MILITARY STATUS,DEMOGRAPHICS,int64,False,True
63,ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,int64,False,True
64,ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,int64,False,True
65,ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,int64,False,True
66,ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,int64,False,True
67,ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,int64,False,True
68,ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,int64,False,True
69,COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,DEMOGRAPHICS,int64,False,True
70,NOMARR2,NUMBER OF TIMES MARRIED,DEMOGRAPHICS,int64,True,True
71,HEALTH,OVERALL HEALTH,DEMOGRAPHICS,int64,False,True
72,MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,DEMOGRAPHICS,int64,False,True
73,SPEAKENGL,HOW WELL SPEAK ENGLISH,DEMOGRAPHICS,int64,False,True
74,LVLDIFSEE2,LEVEL OF DIFFICULTY SEEING EVEN WITH GLASSES,DEMOGRAPHICS,int64,False,True
75,LVLDIFHEAR2,LEVEL OF DIFFICULTY HEARING EVEN WITH HEARING AIDS,DEMOGRAPHICS,int64,False,True
76,LVLDIFWALK2,LEVEL OF DIFFICULTY WALKING OR CLIMBING STEPS,DEMOGRAPHICS,int64,False,True
77,LVLDIFMEM2,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,DEMOGRAPHICS,int64,True,True
78,LVLDIFCARE2,LEVEL OF DIFFICULTY WITH SELF-CARE,DEMOGRAPHICS,int64,True,True
79,LVLDIFCOMM2,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,DEMOGRAPHICS,int64,True,True
80,IRSEX,RESPONDENT SEX - IMPUTATION REVISED,IMPUTED DEMOGRAPHICS,int64,False,True
81,IRMARIT,IMPUTATION REVISED MARITAL STATUS,IMPUTED DEMOGRAPHICS,int64,True,True
82,IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED,IMPUTED DEMOGRAPHICS,int64,False,True
83,CATAGE,RC-AGE CATEGORY,RECODED DEMOGRAPHICS,int64,False,True
84,CATAG2,RC-AGE CATEGORY RECODE (3 LEVELS),RECODED DEMOGRAPHICS,int64,False,True
85,CATAG3,RC-AGE CATEGORY RECODE (5 LEVELS),RECODED DEMOGRAPHICS,int64,False,True
86,CATAG6,RC-AGE CATEGORY RECODE (6 LEVELS),RECODED DEMOGRAPHICS,int64,False,True
87,CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS),RECODED DEMOGRAPHICS,int64,True,True
88,PREGAGE2,RC-PREGNANCY AGE CATEGORY RECODE,RECODED DEMOGRAPHICS,int64,False,True
89,DRVINAGE,RC-DUI AGE CATEGORY RECODE,RECODED DEMOGRAPHICS,int64,False,True
90,DRVINDETAG,RC-DUI DETAILED AGE CATEGORY RECODE,RECODED DEMOGRAPHICS,int64,False,True
91,SEXAGE,RC-COMBINED SEX BY AGE CATEGORY INDICATOR,RECODED DEMOGRAPHICS,int64,True,True
92,NEWRACE2,RC-RACE/HISPANICITY RECODE (7 LEVELS),RECODED DEMOGRAPHICS,int64,False,True
93,SEXRACE,RC-COMBINED SEX BY RACE INDICATOR,RECODED DEMOGRAPHICS,int64,False,True
94,EDUHIGHCAT,RC-EDUCATION CATEGORIES,RECODED DEMOGRAPHICS,int64,False,True
95,HEALTH2,RC-OVERALL HEALTH RECODE,RECODED DEMOGRAPHICS,float64,True,True
96,EDUSCHLGO,NOW GOING TO SCHOOL,EDUCATION,int64,False,True
97,EDUSCHGRD2,WHAT GRADE IN NOW/WILL BE IN,EDUCATION,int64,False,True
98,EDUFULPAR,FULL OR PART TIME,EDUCATION,int64,False,True
99,EDUSCKEST,BEST ESTIMATE # DAYS MISSED BECAUSE SICK OR INURED,EDUCATION,int64,False,True
100,EDUSKPEST,BEST ESTIMATE # DAYS MISSED BECAUSE SKIPPED OR CUT,EDUCATION,int64,False,True
101,MILTFAMLY,ANY IMMEDIATE FAMILY CURRENTLY IN US MILITARY,EDUCATION,int64,False,True
102,MILTSPPAR,SPOUSE OR PARTNER IN MILITARY,EDUCATION,int64,False,True
103,MILTPARNT,FATHER OR MOTHER IN MILITARY,EDUCATION,int64,False,True
104,MILTCHLDR,SON OR DAUGHTER IN MILITARY,EDUCATION,int64,False,True
105,MILTSIBLN,SISTER OR BROTHER IN MILITARY,EDUCATION,int64,False,True
106,ENRLCOLLFT2,RC-COLLEGE ENROLLMENT-FULL TIME,RECODED EDUCATION,int64,False,True
107,ENRLCOLLST2,RC-COLLEGE ENROLLMENT,RECODED EDUCATION,int64,True,True
108,WRKSTATWK2,WORK SITUATION IN PAST WEEK - RECODE,EMPLOYMENT,int64,False,True
109,WRKDPSTWK,WORK AT JOB LAST WEEK,EMPLOYMENT,int64,False,True
110,WRKHADJOB,DID YOU HAVE A JOB OR BUSINESS,EMPLOYMENT,int64,False,True
111,WRK35WKUS,USUALLY WORK 35 OR MORE HRS PER WEEK,EMPLOYMENT,int64,False,True
112,WRKRSNNOT,REASON FOR NOT WORKING AT JOB - PAST WK,EMPLOYMENT,int64,False,True
113,WRKRSNJOB,REASON FOR NOT HAVING A JOB - PAST WK,EMPLOYMENT,int64,False,True
114,WRKEFFORT,"PAST 30 DAYS, MAKE EFFORT TO FIND WORK",EMPLOYMENT,int64,False,True
115,WRKDPSTYR,"PAST 12 MOS, WORKED AT ANY JOB",EMPLOYMENT,int64,False,True
116,WRKSELFEM,"PAST 12 MOS, SELF EMPLOYED",EMPLOYMENT,int64,False,True
117,WRKNUMJOB2,"PAST 12 MOS, HOW MANY EMPLOYERS",EMPLOYMENT,int64,False,True
118,WRKNJBPYR,"PAST 12 MOS, TIME WITH NO JOB",EMPLOYMENT,int64,False,True
119,IRWRKSTAT18,Situación laboral (18+),IMPUTED EMPLOYMENT,int64,False,True
120,EDFAM18,RC-EDITED INDICATOR: FAMILY IN HH 18 OR OLDER,HOUSEHOLD COMPOSITION (ROSTER),int64,False,True
121,IRHHSIZ2,RECODE - IMPUTATION-REVISED # PERSONS IN HH,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),int64,False,True
122,IRKI17_2,RECODE - IMPUTATION-REVISED # KIDS AGED<18 IN HH,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),int64,False,True
123,IRHH65_2,REC - IMPUTATION-REVISED # OF PER IN HH AGED>=65,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),int64,False,True
124,MEDICARE,COVERED BY MEDICARE,HEALTH INSURANCE,int64,False,True
125,CAIDCHIP,COVERED BY MEDICAID/CHIP,HEALTH INSURANCE,int64,False,True
126,CHAMPUS,"COV BY TRICARE, CHAMPUS, CHAMPVA, VA, MILITARY",HEALTH INSURANCE,int64,False,True
127,PRVHLTIN,COVERED BY PRIVATE INSURANCE,HEALTH INSURANCE,int64,False,True
128,GRPHLTIN,PRIVATE PLAN OFFERED THROUGH EMPLOYER OR UNION,HEALTH INSURANCE,int64,False,True
129,HLTINALC,PRIVATE INSURANCE COVERS TRMT FOR ALCOHOL ABUSE/ALCOHOLISM,HEALTH INSURANCE,int64,False,True
130,HLTINDRG,PRIVATE INSURANCE COVERS TRMT FOR DRUG ABUSE,HEALTH INSURANCE,int64,False,True
131,HLTINMNT,PRIVATE INSURANCE COVERS TRMT FOR MENTAL/EMOTIONAL PROBLEMS,HEALTH INSURANCE,int64,False,True
132,HLTINNOS,COVERED BY HEALTH INSUR (NOT OTHERWISE SPECIFIED),HEALTH INSURANCE,int64,False,True
133,HLCNOTYR,ANYTIME DID NOT HAVE HEALTH INS/COVER PAST 12 MOS,HEALTH INSURANCE,int64,False,True
134,HLCLAST,TIME SINCE LAST HAD HEALTH CARE COVERAGE,HEALTH INSURANCE,int64,False,True
135,HLLOSRSN,MAIN REASON STOPPED COVERED BY HEALTH INSURANCE,HEALTH INSURANCE,int64,False,True
136,HLNVCOST,NEVER HAD HEALTH INSURANCE BECAUSE COST TOO HIGH,HEALTH INSURANCE,int64,False,True
