target,descripcion,familia,posicion,variable,etiqueta_variable,valor_observado,valor_shap,signo_contribucion
IRAMDEYR,Episodio depresivo mayor,ML,1,CAMHPROB2,RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE,1.0,0.3529535600915551,Positiva
IRAMDEYR,Episodio depresivo mayor,ML,2,RCVYMHPRB,RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE,1.0,-0.06264771968126293,Negativa
IRAMDEYR,Episodio depresivo mayor,ML,3,LVLDIFMEM2,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,2.0,0.05849696584045888,Positiva
IRAMDEYR,Episodio depresivo mayor,ML,4,LVLDIFCARE2,LEVEL OF DIFFICULTY WITH SELF-CARE,2.0,0.057277161814272365,Positiva
IRAMDEYR,Episodio depresivo mayor,ML,5,HEALTH2,RC-OVERALL HEALTH RECODE,4.0,0.05017799492925404,Positiva
IRAMDEYR,Episodio depresivo mayor,ML,6,SVYRSUDANY,"RC-SUBSTANCE USE DISORDER SEVERITY, PY USERS",1.0,0.04732182547450067,Positiva
IRAMDEYR,Episodio depresivo mayor,ML,7,PREGST,RC-PREGNANCY STATUS OF FEMALES AGED 12-50,2.0,0.03409865731373432,Positiva
IRAMDEYR,Episodio depresivo mayor,ML,8,TQSDANYFLG,RC-ANY TRANQUILIZERS OR SEDATIVES - EVER USED,1.0,0.01694596903398632,Positiva
IRAMDEYR,Episodio depresivo mayor,ML,9,NMERTMT2,# OF TIMES BEEN TREATED IN EMER ROOM PAST 12 MOS,0.0,-0.012164369970560057,Negativa
IRAMDEYR,Episodio depresivo mayor,ML,10,MRJAGLST,HOW OLD WERE YOU THE LAST TIME USED MARIJUANA/CANNABIS,999.0,-0.011229275166988406,Negativa
IRAMDEYR,Episodio depresivo mayor,ML,11,IRMARIT,IMPUTATION REVISED MARITAL STATUS,1.0,-0.0077133681625127515,Negativa
IRAMDEYR,Episodio depresivo mayor,ML,12,MRJMONVAP2,"RC-MRJ VAPE, MRJ USE BUT NOT VAPE, OR NO MRJ USE - PAST MON",2.0,-0.007356376945972409,Negativa
IRAMDEYR,Episodio depresivo mayor,ML,13,NOMARR2,NUMBER OF TIMES MARRIED,1.0,-0.0070409629493951575,Negativa
IRAMDEYR,Episodio depresivo mayor,ML,14,CBDHMPFLAG,RC-CBD OR HEMP - EVER USED,1.0,0.007038719207048405,Positiva
IRAMDEYR,Episodio depresivo mayor,ML,15,SEXAGE,RC-COMBINED SEX BY AGE CATEGORY INDICATOR,5.0,-0.006322037428617422,Negativa
IRSUICTHNK,Ideación suicida,DL,1,CAMHPROB,THINK EVER HAD PROBLEM WITH OWN MENTAL HEALTH,1.0,0.045312363654375076,Positiva
IRSUICTHNK,Ideación suicida,DL,2,CAMHPROB2,RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE,1.0,0.033839601464569546,Positiva
IRSUICTHNK,Ideación suicida,DL,3,LVLDIFCARE2,LEVEL OF DIFFICULTY WITH SELF-CARE,2.0,0.027406862936913967,Positiva
IRSUICTHNK,Ideación suicida,DL,4,COPDAGE,AGE COPD 1ST DIAGNOSED,44.0,0.015262721478939062,Positiva
IRSUICTHNK,Ideación suicida,DL,5,SEDANYFLAG,RC-ANY SEDATIVES - EVER USED,1.0,0.014302313327789307,Positiva
IRSUICTHNK,Ideación suicida,DL,6,HEALTH2,RC-OVERALL HEALTH RECODE,4.0,0.013804624229669549,Positiva
IRSUICTHNK,Ideación suicida,DL,7,CAMHRCVR,THINK IN RECOVERY FROM MENTAL HEALTH PROBLEM,1.0,0.01325491927564143,Positiva
IRSUICTHNK,Ideación suicida,DL,8,HEALTH,OVERALL HEALTH,4.0,0.011789117194712179,Positiva
IRSUICTHNK,Ideación suicida,DL,9,RCVYMHPRB,RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE,1.0,-0.01129623912274838,Negativa
IRSUICTHNK,Ideación suicida,DL,10,LVLDIFMEM2,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,2.0,0.010561523586511634,Positiva
IRSUICTHNK,Ideación suicida,DL,11,SNRLGIMP,MY RELIGIOUS BELIEFS ARE VERY IMPORTANT,2.0,0.009128913842141567,Positiva
IRSUICTHNK,Ideación suicida,DL,12,TOBALCYR,RC-TOBACCO PRODUCT OR ALCOHOL - PAST YEAR USE,0.0,0.008259103819727914,Positiva
IRSUICTHNK,Ideación suicida,DL,13,CBDHMPFLAG,RC-CBD OR HEMP - EVER USED,1.0,0.007573609054088604,Positiva
IRSUICTHNK,Ideación suicida,DL,14,MRJYDAYS,RC-# OF DAYS USED MARIJUANA IN PAST YEAR,5.0,-0.007429107092320919,Negativa
IRSUICTHNK,Ideación suicida,DL,15,UD5ILALANY,RC-DRUG OR ALCOHOL USE DISORDER - PAST YEAR USERS,1.0,0.006454581674188359,Positiva
