documento,fuente,tipo,variable,pagina,caracteres,registro
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_objetivo,IRAMDEYR,507.0,2407,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_objetivo,IRSUICTHNK,478.0,1636,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_objetivo,IRSUIPLANYR,479.0,2037,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_objetivo,IRSUITRYYR,479.0,2400,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,CAMHPROB2,573.0,2427,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,LVLDIFMEM2,13.0,2433,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,RCVYMHPRB,573.0,2430,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,PREGST,565.0,2422,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,SVYRSUDANY,383.0,2429,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,HEALTH2,17.0,1317,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,LVLDIFCARE2,13.0,1616,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,TQSDANYFLG,225.0,945,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,NOMARR2,12.0,2405,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,LVLDIFCOMM2,14.0,1390,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,NMERTMT2,551.0,2431,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,SEXAGE,17.0,2422,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,CBDHMPFLAG,217.0,913,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,MRJAGLST,385.0,2437,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,CATAG7,16.0,2414,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,CAMHPROB,573.0,2428,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,CAMHRCVR,573.0,2427,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,COPDAGE,578.0,2404,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,WRKSKIPMO,26.0,1612,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,MOVSINPYR2,12.0,2422,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,SNRLGIMP,435.0,2422,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,RSKYFQDGR,584.0,2429,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,IRMARIT,15.0,2415,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,HPUSETOB,553.0,2206,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,RSKYFQTES,584.0,2427,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,EDUSCKCOM,19.0,2437,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,EDUSCKMON,19.0,2287,
nsduh-2024-ds0001-info-codebook_v1.pdf,NSDUH 2024 Codebook,variable_relevante,MXMJPNLT,583.0,2432,
77_limitaciones_modelo_final.csv,Notebook 04,limitacion,,,129,1.0
77_limitaciones_modelo_final.csv,Notebook 04,limitacion,,,162,2.0
77_limitaciones_modelo_final.csv,Notebook 04,limitacion,,,146,3.0
77_limitaciones_modelo_final.csv,Notebook 04,limitacion,,,164,4.0
77_limitaciones_modelo_final.csv,Notebook 04,limitacion,,,137,5.0
77_limitaciones_modelo_final.csv,Notebook 04,limitacion,,,137,6.0
77_limitaciones_modelo_final.csv,Notebook 04,limitacion,,,151,7.0
77_limitaciones_modelo_final.csv,Notebook 04,limitacion,,,158,8.0
77_limitaciones_modelo_final.csv,Notebook 04,limitacion,,,167,9.0
77_limitaciones_modelo_final.csv,Notebook 04,limitacion,,,155,10.0
