variable_objetivo,variable,etiqueta_variable,valor_observado,valor_shap,signo_contribucion,descripcion
IRAMDEYR,CAMHPROB2,RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE,1.0,0.3529535600915551,Positiva,RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE
IRAMDEYR,RCVYMHPRB,RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE,1.0,-0.06264771968126293,Negativa,RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE
IRAMDEYR,LVLDIFMEM2,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,2.0,0.05849696584045888,Positiva,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING
IRAMDEYR,LVLDIFCARE2,LEVEL OF DIFFICULTY WITH SELF-CARE,2.0,0.057277161814272365,Positiva,LEVEL OF DIFFICULTY WITH SELF-CARE
IRAMDEYR,HEALTH2,RC-OVERALL HEALTH RECODE,4.0,0.05017799492925404,Positiva,RC-OVERALL HEALTH RECODE
IRAMDEYR,SVYRSUDANY,"RC-SUBSTANCE USE DISORDER SEVERITY, PY USERS",1.0,0.04732182547450067,Positiva,"RC-SUBSTANCE USE DISORDER SEVERITY, PY USERS"
IRAMDEYR,PREGST,RC-PREGNANCY STATUS OF FEMALES AGED 12-50,2.0,0.03409865731373432,Positiva,RC-PREGNANCY STATUS OF FEMALES AGED 12-50
IRAMDEYR,TQSDANYFLG,RC-ANY TRANQUILIZERS OR SEDATIVES - EVER USED,1.0,0.01694596903398632,Positiva,RC-ANY TRANQUILIZERS OR SEDATIVES - EVER USED
IRAMDEYR,NMERTMT2,# OF TIMES BEEN TREATED IN EMER ROOM PAST 12 MOS,0.0,-0.012164369970560057,Negativa,# OF TIMES BEEN TREATED IN EMER ROOM PAST 12 MOS
IRAMDEYR,MRJAGLST,HOW OLD WERE YOU THE LAST TIME USED MARIJUANA/CANNABIS,999.0,-0.011229275166988406,Negativa,HOW OLD WERE YOU THE LAST TIME USED MARIJUANA/CANNABIS
IRAMDEYR,IRMARIT,IMPUTATION REVISED MARITAL STATUS,1.0,-0.0077133681625127515,Negativa,IMPUTATION REVISED MARITAL STATUS
IRAMDEYR,MRJMONVAP2,"RC-MRJ VAPE, MRJ USE BUT NOT VAPE, OR NO MRJ USE - PAST MON",2.0,-0.007356376945972409,Negativa,"RC-MRJ VAPE, MRJ USE BUT NOT VAPE, OR NO MRJ USE - PAST MON"
IRAMDEYR,NOMARR2,NUMBER OF TIMES MARRIED,1.0,-0.0070409629493951575,Negativa,NUMBER OF TIMES MARRIED
IRAMDEYR,CBDHMPFLAG,RC-CBD OR HEMP - EVER USED,1.0,0.007038719207048405,Positiva,RC-CBD OR HEMP - EVER USED
IRAMDEYR,SEXAGE,RC-COMBINED SEX BY AGE CATEGORY INDICATOR,5.0,-0.006322037428617422,Negativa,RC-COMBINED SEX BY AGE CATEGORY INDICATOR
