consulta,metodo,fuente,tipo,variable,pagina,registro,similitud,fragmento
¿Cómo define NSDUH la variable IRAMDEYR?,Coincidencia exacta,NSDUH 2024 Codebook,variable_objetivo,IRAMDEYR,507.0,,,Variable NSDUH: IRAMDEYR. Descripción: Episodio depresivo mayor. Extracto oficial del codebook NSDUH 2024: IAMDELT Len : 1 ADULT: LIFETIME MAJOR DEPRESSIVE EPISODE (MDE) - IMP IND Freq Pct 1 = Questionnaire data ........................................................................................................ 45747 78.02 3 = Statistically imputed data .............................................................................................. 1552 2.65 9 = LEGITIMATE SKIP..................................................................................................... 11334 19.33 (AMDEYR) IRAMDEYR Len : 1 ADULT: PAST YEAR MAJOR DEPRESSIVE EPISODE (MDE) - IMP REV Freq Pct . = Aged 12-17 .................................................................................................................... 11334 19.33 0 = No ................................................................................................................................. 42094 71.79 1 = Yes ................................................................................................................................ 5205 8.88 (AMDEYR) IIAMDEYR Len : 1 ADULT: PAST YEAR MAJOR DEPRESSIVE EPISODE (MDE) - IMP IND Freq Pct 1 = Questionnaire data ........................................................................................................ 45659 77.87 3 = Statistically imputed data .............................................................................................. 1640 2.80 9 = LEGITIMATE SKIP..................................................................................................... 11334 19.33 (AMDEIMP) IRAMDEIMP Len : 1 ADULT: MDE WITH SEVERE ROLE IMPAIRMENT - IMP REV Freq Pct . = Aged 12-17 .................................................................................................................... 11334 19.33 0 = No ................................................................................................................................. 43556 74.29 1 = Yes ................................................................................................................................ 3743 6.38 (AMDEIMP) IIAMDEIMP Len : 1 ADULT: MDE WITH SEVERE ROLE IMPAIRMENT - IMP IND Freq Pct 1 = Questionnaire data ........................................................................................................ 45617 77.80 3 = Statistically impu
¿Cómo define NSDUH la variable IRSUICTHNK?,Coincidencia exacta,NSDUH 2024 Codebook,variable_objetivo,IRSUICTHNK,478.0,,,Variable NSDUH: IRSUICTHNK. Descripción: Ideación suicida. Extracto oficial del codebook NSDUH 2024: ORK Len : 1 DIFFICULTY DOING DAILY WORK ONE MO IN PST 12 MOS - IMP IND Freq Pct 1 = Questionnaire data ........................................................................................................ 35706 60.90 3 = Statistically imputed data .............................................................................................. 1135 1.94 9 = LEGITIMATE SKIP..................................................................................................... 21792 37.17 (SUICTHNK) IRSUICTHNK Len : 1 ADULT SERIOUSLY THOUGHT ABOUT KILLING SELF PST YR - IMP REV Freq Pct . = Aged 12-17 .................................................................................................................... 11334 19.33 0 = No ................................................................................................................................. 43810 74.72 1 = Yes ................................................................................................................................ 3489 5.95 (SUICTHNK) IISUICTHNK Len : 1 ADULT SERIOUSLY THOUGHT ABOUT KILLING SELF PST YR - IMP IND Freq Pct 1 = Questionnaire data ........................................................................................................ 45906 78.29 3 = Statistically imputed data .............................................................................................. 1393 2.38 9 = LEGITIMATE SKIP..................................................................................................... 11334 19.33
¿Cómo define NSDUH la variable IRSUIPLANYR?,Coincidencia exacta,NSDUH 2024 Codebook,variable_objetivo,IRSUIPLANYR,479.0,,,Variable NSDUH: IRSUIPLANYR. Descripción: Planificación suicida. Extracto oficial del codebook NSDUH 2024: IMPUTED ADULT MENTAL HEALTH Codebook Creation Date: 10/3/2025 ................................................... 477 (SUIPLANYR) IRSUIPLANYR Len : 1 ADULT MADE PLANS TO KILL SELF IN PST YR - IMP REV Freq Pct . = Aged 12-17 .................................................................................................................... 11334 19.33 0 = No ................................................................................................................................. 46129 78.67 1 = Yes ................................................................................................................................ 1170 2.00 (SUIPLANYR) IISUIPLANYR Len : 1 ADULT MADE PLANS TO KILL SELF IN PST YR - IMP IND Freq Pct 1 = Questionnaire data ........................................................................................................ 45949 78.37 3 = Statistically imputed data .............................................................................................. 1350 2.30 9 = LEGITIMATE SKIP..................................................................................................... 11334 19.33 IRSUITRYYR Len : 1 ADULT ATTEMPTED TO KILL SELF IN PST YR - IMP REV Freq Pct . = Aged 12-17 .................................................................................................................... 11334 19.33 0 = No ................................................................................................................................. 46774 79.77 1 = Yes ................................................................................................................................ 525 0.90 IISUITRYYR Len : 1 ADULT ATTEMPTED TO KILL SELF IN PST YR - IMP IND Freq Pct 1 = Questionnaire data ........................................................................................................ 45970 78.40 3 = Statistically imputed data .................
¿Cómo define NSDUH la variable IRSUITRYYR?,Coincidencia exacta,NSDUH 2024 Codebook,variable_objetivo,IRSUITRYYR,479.0,,,"Variable NSDUH: IRSUITRYYR. Descripción: Intento suicida. Extracto oficial del codebook NSDUH 2024: (SUIPLANYR) IISUIPLANYR Len : 1 ADULT MADE PLANS TO KILL SELF IN PST YR - IMP IND Freq Pct 1 = Questionnaire data ........................................................................................................ 45949 78.37 3 = Statistically imputed data .............................................................................................. 1350 2.30 9 = LEGITIMATE SKIP..................................................................................................... 11334 19.33 IRSUITRYYR Len : 1 ADULT ATTEMPTED TO KILL SELF IN PST YR - IMP REV Freq Pct . = Aged 12-17 .................................................................................................................... 11334 19.33 0 = No ................................................................................................................................. 46774 79.77 1 = Yes ................................................................................................................................ 525 0.90 IISUITRYYR Len : 1 ADULT ATTEMPTED TO KILL SELF IN PST YR - IMP IND Freq Pct 1 = Questionnaire data ........................................................................................................ 45970 78.40 3 = Statistically imputed data .............................................................................................. 1329 2.27 9 = LEGITIMATE SKIP..................................................................................................... 11334 19.33 (AGADNRVANX) IRAGADNRVANX Len : 2 NERVOUS, ANXIOUS, OR ON EDGE LAST 2 WKS - IMP REV Freq Pct 1 = Not at all ....................................................................................................................... 31621 53.93 2 = Several days .................................................................................................................. 11352 19.36 3 = More than half the days................................................................................................. 2505 4.27 4 = Nearly every day ........................................................................................................... 1821 3.11 99 = LEGITIMATE SKIP ................................................................................................... 11334 19.33 (AGADNR"
¿Cómo define NSDUH la variable CAMHPROB2?,Coincidencia exacta,NSDUH 2024 Codebook,variable_relevante,CAMHPROB2,573.0,,,"Variable NSDUH: CAMHPROB2. Descripción: RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE. Extracto oficial del codebook NSDUH 2024: ......... 5645 9.63 (CASUPROB2, CASURCVR) RCVYSUBPRB Len : 1 RC-PERCEIVED RECOVERY FROM DRUG OR ALCOHOL USE PROBLEM Freq Pct . = Aged 12-17/Unknown (Otherwise) ................................................................................ 12931 22.05 0 = No/No Problem (CASURCVR=2 OR CASUPROB2=0) .............................................. 41650 71.04 1 = Yes (CASURCVR=1) ................................................................................................... 4052 6.91 (CAMHPROB) CAMHPROB2 Len : 1 RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE Freq Pct . = Aged 12-17/Unknown (Otherwise) ................................................................................ 12896 21.99 0 = No (CAMHPROB=2) ................................................................................................... 31105 53.05 1 = Yes (CAMHPROB=1) .................................................................................................. 14632 24.96 (CAMHPROB2, CAMHRCVR) RCVYMHPRB Len : 1 RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE Freq Pct . = Aged 12-17/Unknown (Otherwise) ................................................................................ 13011 22.19 0 = No/No Issue (CAMHRCVR=2 OR CAMHPROB2=0) ................................................ 36210 61.76 1 = Yes (CAMHRCVR=1) ................................................................................................. 9412 16.05 (IRKRATREC) KRATOMFLAG Len : 1 RC-KRATOM - EVER USED Freq Pct 0 = Never used (IRKRATREC = 9) .................................................................................... 57429 97.95 1 = Ever used (IRKRATREC = 1-3) ................................................................................... 1204 2.05 (IRKRATREC) KRATOMYR Len : 1 RC-KRATOM - PAST YEAR USE Freq Pct 0 = Did not use in the past year (IRKRATREC = 3,9) ........................................................ 58222 99.30 1 = Used within the past year (IRKRATREC = 1,2) ........................................................... 411 0.70 (IRKRATREC) KRATOMMON Len : 1 RC-KRATOM - PAST MONTH USE Freq Pct 0 = Did not use in the past month (IRKRATREC= 2-3,9) .................................................. 58420 99.64 1 = Used within the past month (IRKRATREC = 1) ................................"
¿Cómo define NSDUH la variable RCVYMHPRB?,Coincidencia exacta,NSDUH 2024 Codebook,variable_relevante,RCVYMHPRB,573.0,,,"Variable NSDUH: RCVYMHPRB. Descripción: RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE. Extracto oficial del codebook NSDUH 2024: .91 (CAMHPROB) CAMHPROB2 Len : 1 RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE Freq Pct . = Aged 12-17/Unknown (Otherwise) ................................................................................ 12896 21.99 0 = No (CAMHPROB=2) ................................................................................................... 31105 53.05 1 = Yes (CAMHPROB=1) .................................................................................................. 14632 24.96 (CAMHPROB2, CAMHRCVR) RCVYMHPRB Len : 1 RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE Freq Pct . = Aged 12-17/Unknown (Otherwise) ................................................................................ 13011 22.19 0 = No/No Issue (CAMHRCVR=2 OR CAMHPROB2=0) ................................................ 36210 61.76 1 = Yes (CAMHRCVR=1) ................................................................................................. 9412 16.05 (IRKRATREC) KRATOMFLAG Len : 1 RC-KRATOM - EVER USED Freq Pct 0 = Never used (IRKRATREC = 9) .................................................................................... 57429 97.95 1 = Ever used (IRKRATREC = 1-3) ................................................................................... 1204 2.05 (IRKRATREC) KRATOMYR Len : 1 RC-KRATOM - PAST YEAR USE Freq Pct 0 = Did not use in the past year (IRKRATREC = 3,9) ........................................................ 58222 99.30 1 = Used within the past year (IRKRATREC = 1,2) ........................................................... 411 0.70 (IRKRATREC) KRATOMMON Len : 1 RC-KRATOM - PAST MONTH USE Freq Pct 0 = Did not use in the past month (IRKRATREC= 2-3,9) .................................................. 58420 99.64 1 = Used within the past month (IRKRATREC = 1) ........................................................... 213 0.36 (IRFLVVAPREC) FLVVAPFLAG Len : 1 RC-ONLY FLAVORING VAPING - EVER USED Freq Pct 0 = Never used (IRFLVVAPREC = 9) ............................................................................... 53805 91.77 1 = Ever used (IRFLVVAPREC = 1-3) .............................................................................. 4828 8.23 (IRFLVVAPREC) FLVVAPYR Len : 1 RC-ONLY FLAVORING VAPING - PAST YEAR USE Freq Pct 0 = Did not use in the past year (IRFLVV"
¿Cómo define NSDUH la variable LVLDIFMEM2?,Coincidencia exacta,NSDUH 2024 Codebook,variable_relevante,LVLDIFMEM2,13.0,,,"Variable NSDUH: LVLDIFMEM2. Descripción: LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING. Extracto oficial del codebook NSDUH 2024: ..................................... 67 0.11 94 = DON'T KNOW ........................................................................................................... 134 0.23 97 = REFUSED .................................................................................................................. 180 0.31 98 = BLANK (NO ANSWER) ........................................................................................... 1340 2.29 Do you have difficulty remembering or concentrating? (MEM) LVLDIFMEM2 Len : 2 LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING Freq Pct 1 = No Difficulty................................................................................................................. 35896 61.22 2 = Some difficulty ............................................................................................................. 16837 28.72 3 = A lot of difficulty or cannot do at all ............................................................................. 4175 7.12 85 = BAD DATA Logically assigned ................................................................................. 67 0.11 94 = DON'T KNOW ........................................................................................................... 136 0.23 97 = REFUSED .................................................................................................................. 181 0.31 98 = BLANK (NO ANSWER) ........................................................................................... 1341 2.29 Do you have difficulty with self-care, such as washing all over or dressing? (CARE) LVLDIFCARE2 Len : 2 LEVEL OF DIFFICULTY WITH SELF-CARE Freq Pct 1 = No Difficulty................................................................................................................. 51614 88.03 2 = Some difficulty ............................................................................................................. 4239 7.23 3 = A lot of difficulty or cannot do at all ............................................................................. 1026 1.75 85 = BAD DATA Logically assigned ................................................................................. 67 0.11 94 = DON'T KNOW ......................................................................................"
¿Los valores SHAP permiten afirmar causalidad?,Semántica,Notebook 04,limitacion,,,5.0,0.663582095112261,Limitación del modelo: Explicabilidad no causal. Las contribuciones SHAP describen asociaciones aprendidas por el modelo y no causalidad.
¿Puede utilizarse el sistema con finalidad diagnóstica?,Semántica,Notebook 04,limitacion,,,1.0,0.39992211353689566,Limitación del modelo: Uso preventivo y no diagnóstico. La salida apoya priorización preventiva y requiere interpretación humana.
¿La probabilidad estimada equivale a riesgo clínico?,Semántica,Notebook 04,limitacion,,,2.0,0.7222278041491086,Limitación del modelo: Probabilidades no equivalentes a riesgo clínico. La calibración descriptiva impide interpretar la probabilidad como riesgo clínico directo.
