tipo,archivo,ruta,tamano_kb
Tabla,01_resumen_transferencia_recuperada.csv,results/tables/05_agentes_productivizacion/01_resumen_transferencia_recuperada.csv,0.38
Tabla,02_comprobaciones_recuperacion_transferencia.csv,results/tables/05_agentes_productivizacion/02_comprobaciones_recuperacion_transferencia.csv,1.12
Tabla,03_resumen_contratos_estructurados.csv,results/tables/05_agentes_productivizacion/03_resumen_contratos_estructurados.csv,0.46
Tabla,04_comprobaciones_contratos_estructurados.csv,results/tables/05_agentes_productivizacion/04_comprobaciones_contratos_estructurados.csv,0.53
Tabla,05_archivos_bridge_predictivo.csv,results/tables/05_agentes_productivizacion/05_archivos_bridge_predictivo.csv,0.99
Tabla,06_comprobaciones_archivos_bridge_predictivo.csv,results/tables/05_agentes_productivizacion/06_comprobaciones_archivos_bridge_predictivo.csv,0.35
Tabla,07_resumen_servicio_predictivo.csv,results/tables/05_agentes_productivizacion/07_resumen_servicio_predictivo.csv,0.36
Tabla,08_comprobaciones_servicio_predictivo.csv,results/tables/05_agentes_productivizacion/08_comprobaciones_servicio_predictivo.csv,0.69
Tabla,09_resumen_primera_inferencia_bridge.csv,results/tables/05_agentes_productivizacion/09_resumen_primera_inferencia_bridge.csv,0.28
Tabla,10_comparacion_predicciones_bridge.csv,results/tables/05_agentes_productivizacion/10_comparacion_predicciones_bridge.csv,0.73
Tabla,11_comprobaciones_primera_inferencia_bridge.csv,results/tables/05_agentes_productivizacion/11_comprobaciones_primera_inferencia_bridge.csv,0.51
Tabla,12_resumen_explicaciones_locales_bridge.csv,results/tables/05_agentes_productivizacion/12_resumen_explicaciones_locales_bridge.csv,0.51
Tabla,13_variables_principales_shap_bridge.csv,results/tables/05_agentes_productivizacion/13_variables_principales_shap_bridge.csv,3.63
Tabla,14_comprobaciones_finales_bridge.csv,results/tables/05_agentes_productivizacion/14_comprobaciones_finales_bridge.csv,0.82
Tabla,15_resumen_tool_local.csv,results/tables/05_agentes_productivizacion/15_resumen_tool_local.csv,0.15
Tabla,16_comprobaciones_tool_local.csv,results/tables/05_agentes_productivizacion/16_comprobaciones_tool_local.csv,0.3
Tabla,17_resumen_tool_mcp.csv,results/tables/05_agentes_productivizacion/17_resumen_tool_mcp.csv,0.23
Tabla,18_comprobaciones_tool_mcp.csv,results/tables/05_agentes_productivizacion/18_comprobaciones_tool_mcp.csv,0.36
Tabla,19_comparacion_predicciones_tools.csv,results/tables/05_agentes_productivizacion/19_comparacion_predicciones_tools.csv,0.55
Tabla,20_comparacion_campos_tools.csv,results/tables/05_agentes_productivizacion/20_comparacion_campos_tools.csv,0.26
Tabla,21_comparacion_mecanismos_tools.csv,results/tables/05_agentes_productivizacion/21_comparacion_mecanismos_tools.csv,0.94
Tabla,22_comprobaciones_comparacion_tools.csv,results/tables/05_agentes_productivizacion/22_comprobaciones_comparacion_tools.csv,0.74
Tabla,23_decision_mecanismo_tools.csv,results/tables/05_agentes_productivizacion/23_decision_mecanismo_tools.csv,0.43
Tabla,24_comprobaciones_decision_tools.csv,results/tables/05_agentes_productivizacion/24_comprobaciones_decision_tools.csv,0.3
Tabla,25_necesidad_rag.csv,results/tables/05_agentes_productivizacion/25_necesidad_rag.csv,0.26
Tabla,26_inventario_corpus_rag.csv,results/tables/05_agentes_productivizacion/26_inventario_corpus_rag.csv,3.8
Tabla,27_resumen_corpus_rag.csv,results/tables/05_agentes_productivizacion/27_resumen_corpus_rag.csv,0.13
Tabla,28_comprobaciones_corpus_rag.csv,results/tables/05_agentes_productivizacion/28_comprobaciones_corpus_rag.csv,0.42
Tabla,29_resumen_indice_rag.csv,results/tables/05_agentes_productivizacion/29_resumen_indice_rag.csv,0.24
Tabla,30_recuperacion_prueba_rag.csv,results/tables/05_agentes_productivizacion/30_recuperacion_prueba_rag.csv,0.63
Tabla,31_comprobaciones_indice_rag.csv,results/tables/05_agentes_productivizacion/31_comprobaciones_indice_rag.csv,0.29
Tabla,32_ejemplos_recuperacion_rag.csv,results/tables/05_agentes_productivizacion/32_ejemplos_recuperacion_rag.csv,14.36
Tabla,33_comprobaciones_tool_rag.csv,results/tables/05_agentes_productivizacion/33_comprobaciones_tool_rag.csv,0.46
Tabla,34_evaluacion_recuperacion_rag.csv,results/tables/05_agentes_productivizacion/34_evaluacion_recuperacion_rag.csv,1.31
Tabla,35_resumen_evaluacion_rag.csv,results/tables/05_agentes_productivizacion/35_resumen_evaluacion_rag.csv,0.2
Tabla,36_comprobaciones_evaluacion_rag.csv,results/tables/05_agentes_productivizacion/36_comprobaciones_evaluacion_rag.csv,0.49
Tabla,37_resumen_nodos_flujo.csv,results/tables/05_agentes_productivizacion/37_resumen_nodos_flujo.csv,0.46
Tabla,38_comprobaciones_nodos_flujo.csv,results/tables/05_agentes_productivizacion/38_comprobaciones_nodos_flujo.csv,0.32
Tabla,39_transiciones_flujo_langgraph.csv,results/tables/05_agentes_productivizacion/39_transiciones_flujo_langgraph.csv,0.55
Tabla,40_comprobaciones_grafo_langgraph.csv,results/tables/05_agentes_productivizacion/40_comprobaciones_grafo_langgraph.csv,0.34
Tabla,41_traza_flujo_langgraph.csv,results/tables/05_agentes_productivizacion/41_traza_flujo_langgraph.csv,0.55
Tabla,42_variables_explicacion_flujo_langgraph.csv,results/tables/05_agentes_productivizacion/42_variables_explicacion_flujo_langgraph.csv,2.1
Tabla,43_contexto_documental_flujo_langgraph.csv,results/tables/05_agentes_productivizacion/43_contexto_documental_flujo_langgraph.csv,17.09
Tabla,44_resumen_ejecucion_flujo_langgraph.csv,results/tables/05_agentes_productivizacion/44_resumen_ejecucion_flujo_langgraph.csv,0.23
Tabla,45_comprobaciones_ejecucion_flujo_langgraph.csv,results/tables/05_agentes_productivizacion/45_comprobaciones_ejecucion_flujo_langgraph.csv,0.65
Tabla,46_rutas_flujo_langgraph.csv,results/tables/05_agentes_productivizacion/46_rutas_flujo_langgraph.csv,0.31
Tabla,47_comprobaciones_rutas_flujo_langgraph.csv,results/tables/05_agentes_productivizacion/47_comprobaciones_rutas_flujo_langgraph.csv,0.5
Tabla,48_configuracion_generacion_mistral.csv,results/tables/05_agentes_productivizacion/48_configuracion_generacion_mistral.csv,0.31
Tabla,49_contexto_generativo_mistral.json,results/tables/05_agentes_productivizacion/49_contexto_generativo_mistral.json,33.53
Tabla,50_resumen_generacion_mistral.csv,results/tables/05_agentes_productivizacion/50_resumen_generacion_mistral.csv,0.26
Tabla,51_guardrails_informe_mistral.csv,results/tables/05_agentes_productivizacion/51_guardrails_informe_mistral.csv,0.88
Tabla,52_pruebas_guardrails_controladas.csv,results/tables/05_agentes_productivizacion/52_pruebas_guardrails_controladas.csv,0.47
Tabla,53_respuesta_demo_aplicacion.json,results/tables/05_agentes_productivizacion/53_respuesta_demo_aplicacion.json,31.23
Tabla,54_predicciones_aplicacion.csv,results/tables/05_agentes_productivizacion/54_predicciones_aplicacion.csv,4.21
Tabla,55_factores_aplicacion.csv,results/tables/05_agentes_productivizacion/55_factores_aplicacion.csv,2.62
Tabla,56_comprobaciones_respuesta_aplicacion.csv,results/tables/05_agentes_productivizacion/56_comprobaciones_respuesta_aplicacion.csv,0.51
Tabla,57_comprobaciones_visualizacion_plotly.csv,results/tables/05_agentes_productivizacion/57_comprobaciones_visualizacion_plotly.csv,0.23
Tabla,58_endpoints_flask.csv,results/tables/05_agentes_productivizacion/58_endpoints_flask.csv,0.2
Tabla,59_resumen_respuestas_flask.csv,results/tables/05_agentes_productivizacion/59_resumen_respuestas_flask.csv,0.12
Tabla,60_comprobaciones_aplicacion_flask.csv,results/tables/05_agentes_productivizacion/60_comprobaciones_aplicacion_flask.csv,0.83
Tabla,63_registro_entrada_demo_01.csv,results/tables/05_agentes_productivizacion/63_registro_entrada_demo_01.csv,11.02
Tabla,63_registro_entrada_demo_02.csv,results/tables/05_agentes_productivizacion/63_registro_entrada_demo_02.csv,11.03
Tabla,63_registro_entrada_demo_03.csv,results/tables/05_agentes_productivizacion/63_registro_entrada_demo_03.csv,11.05
Tabla,64_comprobaciones_acceso_autorizado.csv,results/tables/05_agentes_productivizacion/64_comprobaciones_acceso_autorizado.csv,1.33
Tabla,65_plan_evaluacion_e2e.csv,results/tables/05_agentes_productivizacion/65_plan_evaluacion_e2e.csv,0.34
Tabla,66_respuesta_e2e_api.json,results/tables/05_agentes_productivizacion/66_respuesta_e2e_api.json,31.23
Tabla,67_trazabilidad_e2e.csv,results/tables/05_agentes_productivizacion/67_trazabilidad_e2e.csv,0.55
Tabla,68_comparacion_predicciones_e2e.csv,results/tables/05_agentes_productivizacion/68_comparacion_predicciones_e2e.csv,0.33
Tabla,69_comprobaciones_e2e.csv,results/tables/05_agentes_productivizacion/69_comprobaciones_e2e.csv,0.82
Tabla,70_comprobaciones_robustez_e2e.csv,results/tables/05_agentes_productivizacion/70_comprobaciones_robustez_e2e.csv,0.35
Tabla,71_resumen_evaluacion_e2e.csv,results/tables/05_agentes_productivizacion/71_resumen_evaluacion_e2e.csv,0.25
Tabla,72_resumen_solucion_final.csv,results/tables/05_agentes_productivizacion/72_resumen_solucion_final.csv,0.3
Tabla,73_resumen_validaciones_notebook05.csv,results/tables/05_agentes_productivizacion/73_resumen_validaciones_notebook05.csv,0.3
Figura,01_predicciones_umbral_aplicacion.html,results/figures/05_agentes_productivizacion/01_predicciones_umbral_aplicacion.html,9.24
Informe,01_informe_preventivo_mistral.json,results/agent_reports/01_informe_preventivo_mistral.json,6.81
Informe,02_informe_preventivo_mistral.txt,results/agent_reports/02_informe_preventivo_mistral.txt,2.67
Informe,informe_demo_01.json,results/agent_reports/informe_demo_01.json,33.85
Informe,informe_demo_02.json,results/agent_reports/informe_demo_02.json,32.96
Informe,informe_demo_03.json,results/agent_reports/informe_demo_03.json,32.74
Código,servicio_predictivo.py,src/productivizacion/servicio_predictivo.py,20.81
